,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
58,Bernard\Bernard,br BRA,FWMF,Everton,28-122,1992,6,2,274,3.0,1,0,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.05,0.15,0.20,0.05,0.20,Matches
59,Bernardo\Bernardo,br BRA,MFDF,Brighton,25-239,1995,2,1,116,1.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.23,0.16,0.38,0.23,0.38,Matches
60,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-156,1989,16,16,1428,15.9,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.02,0.02,0.04,0.02,0.04,Matches
61,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-131,1996,16,16,1374,15.3,1,0,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.3,0.04,0.02,0.05,0.04,0.05,Matches
62,Jayden Bogle\Jayden-Bogle,eng ENG,DFMF,Sheffield Utd,20-165,2000,2,1,127,1.4,1,0,0,0,1,0,0.71,0.00,0.71,0.71,0.71,0.1,0.1,0.1,0.10,0.06,0.16,0.10,0.16,Matches
63,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-340,1991,12,12,1080,12.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
64,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-019,1996,17,16,1291,14.3,4,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,3.3,3.3,1.5,0.23,0.10,0.33,0.23,0.33,Matches
65,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28-360,1992,10,7,608,6.8,1,1,0,0,2,0,0.15,0.15,0.30,0.15,0.30,0.4,0.4,0.8,0.06,0.12,0.17,0.06,0.17,Matches
66,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-282,2000,13,6,601,6.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.1,0.17,0.16,0.33,0.17,0.33,Matches
67,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-020,1995,14,14,1260,14.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,0.05,0.04,0.09,0.05,0.09,Matches
68,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-113,1993,8,4,342,3.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches
69,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-068,1996,2,2,152,1.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
70,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-276,1997,10,7,612,6.8,0,1,0,0,2,0,0.00,0.15,0.15,0.00,0.15,1.2,1.2,1.6,0.18,0.23,0.41,0.18,0.41,Matches
71,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-244,1992,10,8,733,8.1,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches
72,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-283,1998,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-102,1981,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-020,1985,5,5,450,5.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.07,0.09,0.02,0.09,Matches
75,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,29-354,1991,10,9,759,8.4,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
76,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-298,1997,16,16,1404,15.6,11,0,0,0,3,0,0.71,0.00,0.71,0.71,0.71,8.3,8.3,0.6,0.53,0.04,0.57,0.53,0.57,Matches
77,João Cancelo\Joao-Cancelo,pt POR,DFMF,Manchester City,26-226,1994,11,11,990,11.0,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,2.2,0.02,0.20,0.23,0.02,0.23,Matches
78,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-334,2000,9,0,237,2.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.14,0.14,0.28,0.14,0.28,Matches
79,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-002,1989,9,2,215,2.4,1,0,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.6,0.6,0.0,0.26,0.02,0.28,0.26,0.28,Matches
80,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-154,1997,14,14,1222,13.6,0,2,0,0,5,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,1.4,0.02,0.11,0.12,0.02,0.12,Matches
81,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-034,1995,9,9,779,8.7,1,2,0,0,1,0,0.12,0.23,0.35,0.12,0.35,0.3,0.3,0.6,0.03,0.06,0.10,0.03,0.10,Matches
82,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FW,Fulham,27-082,1993,13,11,969,10.8,1,0,1,2,1,0,0.09,0.00,0.09,0.00,0.00,2.5,1.8,1.3,0.24,0.12,0.36,0.17,0.28,Matches
83,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-329,1987,9,2,302,3.4,3,2,0,0,1,0,0.89,0.60,1.49,0.89,1.49,2.4,2.4,0.9,0.73,0.28,1.01,0.73,1.01,Matches
84,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-154,1996,15,9,951,10.6,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,0.01,0.19,0.20,0.01,0.20,Matches
85,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-018,1996,14,14,1170,13.0,2,4,0,0,1,0,0.15,0.31,0.46,0.15,0.46,1.0,1.0,1.1,0.07,0.09,0.16,0.07,0.16,Matches
