,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
80,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-046,1993,9,7,609,1,0,1,2,1,0,0.15,0.00,0.15,0.00,0.00,1.1,0.4,0.7,0.17,0.10,0.26,0.05,0.15,Matches
81,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-293,1987,5,0,131,3,1,0,0,1,0,2.06,0.69,2.75,2.06,2.75,1.5,1.5,0.6,1.01,0.40,1.41,1.01,1.41,Matches
82,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-118,1996,9,6,618,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,1.6,0.01,0.23,0.24,0.01,0.24,Matches
83,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,23-348,1996,7,7,621,2,2,0,0,1,0,0.29,0.29,0.58,0.29,0.58,0.9,0.9,0.7,0.13,0.10,0.23,0.13,0.23,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-063,1997,2,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-237,1996,4,4,314,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-068,1989,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-242,1991,5,5,431,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-282,1993,9,9,810,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
89,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-053,1988,6,6,447,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.5,0.01,0.11,0.12,0.01,0.12,Matches
90,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20-310,2000,7,4,354,1,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,0.8,0.8,0.1,0.21,0.03,0.24,0.21,0.24,Matches
91,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-095,1991,7,7,630,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
92,Hélder Costa\Helder-Costa,pt POR,MFDF,Leeds United,26-326,1994,9,8,624,2,2,0,0,0,0,0.29,0.29,0.58,0.29,0.58,1.0,1.0,0.8,0.14,0.12,0.26,0.14,0.26,Matches
93,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-103,1992,7,7,630,0,1,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.6,0.03,0.08,0.12,0.03,0.12,Matches
94,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,30-354,1989,10,10,900,0,3,0,0,0,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,1.7,0.02,0.17,0.19,0.02,0.19,Matches
95,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-228,1991,10,10,890,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.5,0.12,0.05,0.17,0.12,0.17,Matches
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-293,1987,6,6,540,1,0,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.0,0.05,0.01,0.05,0.05,0.05,Matches
97,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-056,1990,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-223,1993,7,4,386,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches
99,Tom Davies\Tom-Davies,eng ENG,DFMF,Everton,22-156,1998,5,2,169,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.23,0.23,0.00,0.23,Matches
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-294,1998,1,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matches
101,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20-326,2000,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-158,1991,8,7,653,1,5,1,2,0,0,0.14,0.69,0.83,0.00,0.69,3.1,1.6,2.9,0.43,0.40,0.83,0.22,0.62,Matches
103,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17-299,2003,1,0,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
104,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-012,1989,4,1,186,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
105,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,25-232,1995,9,8,733,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.4,0.16,0.04,0.21,0.16,0.21,Matches
106,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,21-270,1999,5,0,23,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.14,0.14,0.00,0.14,Matches
107,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22-228,1998,9,8,650,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.4,0.4,0.1,0.06,0.02,0.08,0.06,0.08,Matches
108,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,23-355,1996,5,2,236,1,0,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.8,0.8,0.6,0.31,0.22,0.54,0.31,0.54,Matches
109,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-203,1997,7,7,609,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.08,0.00,0.08,0.08,0.08,Matches
110,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,26-323,1994,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0.02,0.02,Matches
