,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
39,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-183,1989,4,1,162,1.8,1,0,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,Matches
40,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-132,1993,17,17,1455,16.2,10,2,1,1,1,0,0.62,0.12,0.74,0.56,0.68,11.1,10.3,1.1,0.68,0.07,0.75,0.64,0.70,Matches
41,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-201,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-041,1993,6,6,454,5.0,2,1,0,0,0,0,0.40,0.20,0.59,0.40,0.59,1.5,1.5,1.7,0.30,0.34,0.64,0.30,0.64,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-041,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
44,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-077,1989,13,10,871,9.7,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,2.1,2.1,0.5,0.22,0.05,0.27,0.22,0.27,Matches
45,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-037,1997,16,13,1190,13.2,5,1,0,0,0,0,0.38,0.08,0.45,0.38,0.45,3.5,3.5,0.3,0.26,0.02,0.28,0.26,0.28,Matches
46,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-238,1991,9,8,745,8.3,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.0,0.13,0.00,0.13,0.13,0.13,Matches
47,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-179,1988,18,18,1476,16.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.04,0.03,0.07,0.04,0.07,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-105,1993,10,4,428,4.8,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.6,0.6,1.0,0.13,0.22,0.35,0.13,0.35,Matches
49,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-278,1996,17,17,1440,16.0,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
50,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-272,1997,10,2,257,2.9,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-302,1995,16,16,1370,15.2,0,2,0,0,6,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,2.1,0.01,0.14,0.15,0.01,0.15,Matches
52,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-158,1995,9,3,397,4.4,0,2,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.7,0.7,0.5,0.16,0.12,0.28,0.16,0.28,Matches
53,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-041,1999,5,2,254,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
54,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-043,1990,13,7,620,6.9,3,0,0,0,2,1,0.44,0.00,0.44,0.44,0.44,3.4,3.4,0.8,0.50,0.12,0.61,0.50,0.61,Matches
55,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-080,1990,5,4,330,3.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.12,0.02,0.14,0.12,0.14,Matches
56,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-336,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
57,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-099,1997,11,7,680,7.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,0.20,0.10,0.30,0.20,0.30,Matches
