,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-137,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-055,1985,9,9,810,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-023,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-333,1997,20,20,1762,19.6,13,0,13,0,0,3,0,0.66,0.00,0.66,0.66,0.66,10.2,10.2,0.9,11.0,0.52,0.04,0.56,0.52,0.56,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-261,1994,17,16,1433,15.9,1,2,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,1.1,1.1,2.9,4.1,0.07,0.18,0.25,0.07,0.25,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-003,2000,10,0,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.13,0.13,0.26,0.13,0.26,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-037,1989,13,4,369,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.1,1.1,0.1,1.2,0.28,0.02,0.30,0.28,0.30,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-189,1997,20,20,1762,19.6,0,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.7,2.0,0.02,0.09,0.10,0.02,0.10,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-133,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-069,1995,13,13,1085,12.1,1,2,1,0,0,1,0,0.08,0.17,0.25,0.08,0.25,0.4,0.4,0.7,1.2,0.03,0.06,0.10,0.03,0.10,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,26-346,1994,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-117,1993,20,16,1434,15.9,3,0,2,1,2,2,0,0.19,0.00,0.19,0.13,0.13,4.3,3.5,1.5,5.1,0.27,0.10,0.36,0.22,0.32,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-364,1987,16,7,762,8.5,6,2,6,0,0,1,0,0.71,0.24,0.94,0.71,0.94,4.8,4.8,1.6,6.4,0.57,0.19,0.75,0.57,0.75,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-189,1996,16,10,1019,11.3,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,2.1,0.01,0.18,0.19,0.01,0.19,Matches
90,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-053,1996,18,18,1486,16.5,2,4,2,0,0,2,0,0.12,0.24,0.36,0.12,0.36,1.3,1.3,1.1,2.4,0.08,0.07,0.15,0.08,0.15,Matches
91,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-134,1997,5,3,221,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
92,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-308,1996,7,6,549,6.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
93,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-139,1989,12,11,1025,11.4,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
94,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-313,1991,12,12,1055,11.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.3,0.4,0.01,0.02,0.04,0.01,0.04,Matches
95,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-353,1993,22,22,1953,21.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches
96,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-124,1988,12,8,667,7.4,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.6,0.7,0.02,0.08,0.10,0.02,0.10,Matches
97,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-015,2000,14,8,662,7.4,2,1,2,0,0,0,0,0.27,0.14,0.41,0.27,0.41,3.0,3.0,0.2,3.2,0.41,0.02,0.43,0.41,0.43,Matches
98,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-166,1991,16,16,1421,15.8,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.0,0.7,0.05,0.00,0.05,0.05,0.05,Matches
99,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-232,1989,4,3,295,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
100,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-031,1994,13,8,694,7.7,2,2,2,0,0,0,0,0.26,0.26,0.52,0.26,0.52,1.0,1.0,0.8,1.8,0.13,0.11,0.24,0.13,0.24,Matches
