,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
46,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,12,12,1061,88,1,0,0,0,4,13,2,0,1.8,1.8,0.9,0.08,0.08,0.08,0.08,0.34,0.16,0.23,0.16,0.23
47,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,12,12,1057,88,0,1,0,0,0,20,3,0,0.5,0.5,0.5,0.00,0.09,0.00,0.09,0.00,0.05,0.09,0.05,0.09
48,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,12,12,1053,88,0,1,0,0,4,10,3,0,0.5,0.5,1.3,0.00,0.09,0.00,0.09,0.34,0.05,0.16,0.05,0.16
49,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,12,12,1050,88,3,1,0,0,5,11,3,0,2.9,2.9,1.8,0.26,0.34,0.26,0.34,0.43,0.25,0.40,0.25,0.40
50,Chris Basham\Chris-Basham,eng ENG,MFDF,Sheffield Utd,31,1988,12,12,1048,87,0,0,0,0,0,8,2,0,0.5,0.5,0.4,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.04,0.08
51,Jamal Lewis\Jamal-Lewis,nir NIR,,Norwich City,21,1998,12,12,1047,87,0,0,0,0,2,7,1,0,0.1,0.1,0.4,0.00,0.00,0.00,0.00,0.17,0.01,0.04,0.01,0.04
52,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,12,12,1046,87,0,0,0,0,0,17,2,0,0.2,0.2,0.2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.03
53,Emiliano Buendía\Emiliano-Buendia,ar ARG,FW,Norwich City,22,1996,12,12,1045,87,0,4,0,0,4,13,1,0,0.9,0.9,2.7,0.00,0.34,0.00,0.34,0.34,0.07,0.31,0.07,0.31
54,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,12,12,1043,87,5,0,0,0,11,22,3,0,5.0,5.0,1.4,0.43,0.43,0.43,0.43,0.95,0.43,0.55,0.43,0.55
55,Mason Mount\Mason-Mount,eng ENG,MF,Chelsea,20,1999,12,12,1041,87,4,1,0,0,13,14,1,0,3.8,3.8,1.3,0.35,0.43,0.35,0.43,1.12,0.33,0.44,0.33,0.44
56,Ben Godfrey\Ben-Godfrey,eng ENG,MF,Norwich City,21,1998,12,12,1040,87,0,0,0,0,1,3,1,0,0.3,0.3,0.0,0.00,0.00,0.00,0.00,0.09,0.02,0.02,0.02,0.02
57,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,12,12,1040,87,6,3,2,4,15,9,2,0,7.6,4.5,2.0,0.52,0.78,0.35,0.61,1.30,0.66,0.83,0.39,0.57
58,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,12,12,1036,86,5,2,2,2,13,12,2,0,4.2,2.7,2.2,0.43,0.61,0.26,0.43,1.13,0.37,0.56,0.24,0.43
59,Joel Ward\Joel-Ward,eng ENG,MFDF,Crystal Palace,29,1989,12,12,1034,86,0,0,0,0,1,9,2,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.09,0.01,0.02,0.01,0.02
60,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,12,12,1034,86,0,1,0,0,3,14,4,0,0.7,0.7,0.5,0.00,0.09,0.00,0.09,0.26,0.06,0.11,0.06,0.11
61,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,12,12,1031,86,3,2,0,0,10,10,1,0,2.5,2.5,1.8,0.26,0.44,0.26,0.44,0.87,0.22,0.37,0.22,0.37
62,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,12,12,1028,86,1,4,0,0,3,7,0,0,0.5,0.5,2.0,0.09,0.44,0.09,0.44,0.26,0.05,0.22,0.05,0.22
63,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,12,11,1023,85,0,0,0,0,2,12,3,0,0.8,0.8,0.0,0.00,0.00,0.00,0.00,0.18,0.07,0.07,0.07,0.07
64,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,12,12,1020,85,4,1,0,1,13,26,0,0,4.0,3.1,0.5,0.35,0.44,0.35,0.44,1.15,0.36,0.40,0.28,0.32
65,Wilfried Zaha\Wilfried-Zaha,ci CIV,FWMF,Crystal Palace,26,1992,12,11,1015,85,0,1,0,0,5,19,2,0,1.4,1.4,1.2,0.00,0.09,0.00,0.09,0.44,0.13,0.23,0.13,0.23
66,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,12,12,1009,84,0,0,0,0,3,11,2,0,0.3,0.3,1.4,0.00,0.00,0.00,0.00,0.27,0.03,0.15,0.03,0.15
67,Joshua King\Joshua-King,no NOR,FW,Bournemouth,27,1992,12,11,1007,84,3,2,1,1,7,16,0,0,3.7,3.0,1.9,0.27,0.45,0.18,0.36,0.63,0.33,0.51,0.27,0.44
68,Roberto Firmino\Roberto-Firmino,br BRA,MFFW,Liverpool,27,1991,12,11,1004,84,3,3,0,0,14,11,0,0,3.9,3.9,3.1,0.27,0.54,0.27,0.54,1.25,0.35,0.64,0.35,0.64
69,Miguel Almirón\Miguel-Almiron,py PAR,MF,Newcastle Utd,25,1994,12,12,1004,84,0,0,0,0,5,9,2,0,2.4,2.4,0.3,0.00,0.00,0.00,0.00,0.45,0.22,0.24,0.22,0.24
70,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,12,12,1002,84,1,0,0,0,1,10,1,0,0.2,0.2,0.1,0.09,0.09,0.09,0.09,0.09,0.02,0.03,0.02,0.03
71,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,12,12,995,83,1,0,0,0,7,5,0,0,0.9,0.9,0.0,0.09,0.09,0.09,0.09,0.63,0.08,0.08,0.08,0.08
72,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,11,11,990,90,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,11,11,990,90,0,2,0,0,0,11,0,0,0.1,0.1,1.6,0.00,0.18,0.00,0.18,0.00,0.01,0.15,0.01,0.15
74,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,DF,Leicester City,22,1996,11,11,990,90,2,0,0,0,2,18,1,0,0.8,0.8,0.1,0.18,0.18,0.18,0.18,0.18,0.07,0.08,0.07,0.08
75,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,11,11,990,90,0,0,0,0,7,6,1,0,0.7,0.7,0.0,0.00,0.00,0.00,0.00,0.64,0.06,0.06,0.06,0.06
76,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,11,11,990,90,0,1,0,0,0,10,1,0,0.0,0.0,1.2,0.00,0.09,0.00,0.09,0.00,0.00,0.11,0.00,0.11
77,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,11,11,990,90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,11,11,990,90,1,0,0,0,1,8,2,0,0.1,0.1,0.2,0.09,0.09,0.09,0.09,0.09,0.01,0.03,0.01,0.03
79,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,11,11,990,90,4,1,0,0,13,17,1,0,4.6,4.6,0.8,0.36,0.45,0.36,0.45,1.18,0.42,0.49,0.42,0.49
80,David Luiz\David-Luiz,br BRA,MFDF,Arsenal,32,1987,11,11,990,90,2,0,0,0,4,9,2,0,1.0,1.0,0.0,0.18,0.18,0.18,0.18,0.36,0.09,0.10,0.09,0.10
81,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,12,11,990,83,0,3,0,0,2,22,2,0,0.3,0.3,1.6,0.00,0.27,0.00,0.27,0.18,0.02,0.17,0.02,0.17
82,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,11,11,990,90,0,0,0,0,0,3,2,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
83,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,11,11,990,90,0,1,0,0,1,3,0,0,0.3,0.3,0.3,0.00,0.09,0.00,0.09,0.09,0.02,0.05,0.02,0.05
84,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,11,11,985,90,6,1,1,1,10,11,0,0,4.1,3.4,0.6,0.55,0.64,0.46,0.55,0.91,0.38,0.44,0.31,0.37
85,Daniel James\Daniel-James,wal WAL,MF,Manchester Utd,21,1997,12,11,985,82,3,2,0,0,8,8,3,0,2.1,2.1,2.0,0.27,0.46,0.27,0.46,0.73,0.19,0.37,0.19,0.37
86,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,11,11,976,89,2,0,2,2,4,27,6,0,1.8,0.3,1.2,0.18,0.18,0.00,0.00,0.37,0.17,0.27,0.03,0.13
87,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,11,11,975,89,0,0,0,0,0,4,1,0,0.3,0.3,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
88,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,12,12,974,81,1,1,0,0,6,9,2,0,1.9,1.9,0.7,0.09,0.18,0.09,0.18,0.55,0.18,0.24,0.18,0.24
89,Raheem Sterling\Raheem-Sterling,eng ENG,MFFW,Manchester City,24,1994,11,11,972,88,7,1,0,0,12,16,4,0,5.7,5.7,3.9,0.65,0.74,0.65,0.74,1.11,0.52,0.88,0.52,0.88
90,Sadio Mané\Sadio-Mane,sn SEN,MFFW,Liverpool,27,1992,12,11,969,81,7,2,0,0,14,22,1,0,4.7,4.7,2.3,0.65,0.84,0.65,0.84,1.30,0.44,0.65,0.44,0.65
91,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,11,11,965,88,4,2,0,0,7,17,1,0,2.4,2.4,2.3,0.37,0.56,0.37,0.56,0.65,0.22,0.44,0.22,0.44
92,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,11,11,954,87,1,2,1,1,1,11,5,0,1.0,0.2,1.7,0.09,0.28,0.00,0.19,0.09,0.09,0.25,0.02,0.18
93,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,24,1995,12,11,951,79,0,0,0,0,0,5,0,0,0.4,0.4,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.05
94,Mohamed Salah\Mohamed-Salah,eg EGY,MFFW,Liverpool,27,1992,11,11,946,86,6,3,2,2,19,8,0,0,6.5,4.9,0.9,0.57,0.86,0.38,0.67,1.81,0.62,0.70,0.47,0.56
95,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,11,11,934,85,1,0,0,0,4,5,1,0,0.5,0.5,0.1,0.10,0.10,0.10,0.10,0.39,0.05,0.05,0.05,0.05
96,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,11,11,932,85,0,1,0,0,1,20,1,0,0.7,0.7,1.1,0.00,0.10,0.00,0.10,0.10,0.06,0.17,0.06,0.17
97,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,11,10,917,83,0,0,0,0,3,20,2,0,0.6,0.6,0.7,0.00,0.00,0.00,0.00,0.29,0.06,0.13,0.06,0.13
98,Fabinho\Fabinho,br BRA,DF,Liverpool,25,1993,11,10,916,83,1,1,0,0,2,13,4,0,0.1,0.1,1.0,0.10,0.20,0.10,0.20,0.20,0.01,0.11,0.01,0.11
99,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,30,1988,11,11,910,83,0,3,0,0,1,7,1,0,0.2,0.2,1.2,0.00,0.30,0.00,0.30,0.10,0.02,0.13,0.02,0.13
100,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,11,10,910,83,1,0,0,0,3,15,2,0,0.5,0.5,0.3,0.10,0.10,0.10,0.10,0.30,0.05,0.08,0.05,0.08
101,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,11,10,908,83,0,1,0,0,0,11,3,0,0.0,0.0,0.8,0.00,0.10,0.00,0.10,0.00,0.00,0.08,0.00,0.08
102,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,11,9,903,82,0,0,0,0,2,11,1,0,0.2,0.2,0.0,0.00,0.00,0.00,0.00,0.20,0.02,0.02,0.02,0.02
103,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,11,11,901,82,0,1,0,0,1,12,3,0,0.2,0.2,0.7,0.00,0.10,0.00,0.10,0.10,0.02,0.09,0.02,0.09
104,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,11,10,901,82,0,0,0,0,1,10,0,0,0.5,0.5,0.0,0.00,0.00,0.00,0.00,0.10,0.05,0.05,0.05,0.05
