,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
347,Reiss Nelson\Reiss-Nelson,eng ENG,MF,Arsenal,19,1999,4,2,151,38,0,0,0,0,3,4,1,0,0.3,0.3,0.1,0.00,0.00,0.00,0.00,1.79,0.16,0.21,0.16,0.21
348,Pedro Neto\Pedro-Neto,pt POR,FW,Wolves,19,2000,8,1,142,18,0,1,0,0,1,1,1,0,0.4,0.4,1.1,0.00,0.63,0.00,0.63,0.63,0.25,0.95,0.25,0.95
349,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,3,1,136,45,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06
350,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,DF,Everton,23,1995,2,1,135,68,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
351,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3,1,131,44,1,0,0,0,1,1,0,0,0.5,0.5,0.1,0.69,0.69,0.69,0.69,0.69,0.31,0.37,0.31,0.37
352,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,127,64,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09
353,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,29,1990,3,1,125,42,0,0,0,0,3,1,0,0,0.7,0.7,0.1,0.00,0.00,0.00,0.00,2.16,0.48,0.58,0.48,0.58
354,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,4,1,120,30,0,0,0,0,1,4,0,0,0.1,0.1,0.6,0.00,0.00,0.00,0.00,0.75,0.04,0.48,0.04,0.48
355,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MF,Wolves,19,2000,3,1,120,40,0,0,0,0,0,2,0,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.07,0.18
356,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,3,1,120,40,0,0,0,0,0,2,1,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09
357,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,5,1,118,24,0,0,0,0,2,0,0,0,0.5,0.5,0.1,0.00,0.00,0.00,0.00,1.53,0.37,0.42,0.37,0.42
358,Reece James\Reece-James,eng ENG,,Chelsea,19,1999,4,1,117,29,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
359,Josip Drmić\Josip-Drmic,ch SUI,FW,Norwich City,26,1992,8,0,115,14,1,0,0,0,1,0,0,0,1.2,1.2,0.0,0.78,0.78,0.78,0.78,0.78,0.97,0.97,0.97,0.97
360,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,5,1,113,23,1,0,0,0,1,1,0,0,1.0,1.0,0.1,0.80,0.80,0.80,0.80,0.80,0.78,0.89,0.78,0.89
361,Mason Greenwood\Mason-Greenwood,eng ENG,MF,Manchester Utd,17,2001,9,0,112,12,0,0,0,0,3,1,0,0,0.7,0.7,0.0,0.00,0.00,0.00,0.00,2.41,0.56,0.56,0.56,0.56
362,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,MFFW,Arsenal,30,1989,3,1,111,37,0,0,0,0,0,2,1,0,0.3,0.3,0.2,0.00,0.00,0.00,0.00,0.00,0.23,0.39,0.23,0.39
363,Robbie Brady\Robbie-Brady,ie IRL,FWMF,Burnley,27,1992,6,1,109,18,0,2,0,0,0,2,1,0,0.1,0.1,0.2,0.00,1.65,0.00,1.65,0.00,0.11,0.26,0.11,0.26
364,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,2,1,107,54,1,0,0,0,2,0,0,0,0.9,0.9,0.0,0.84,0.84,0.84,0.84,1.68,0.73,0.73,0.73,0.73
365,Ezri Konsa\Ezri-Konsa,eng ENG,FW,Aston Villa,21,1998,2,1,105,53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,4,1,103,26,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
367,Yoshinori Mutō\Yoshinori-Muto,jp JPN,MF,Newcastle Utd,27,1992,5,1,101,20,0,0,0,0,0,1,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06
368,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,3,1,99,33,0,0,0,0,1,2,1,0,0.2,0.2,0.1,0.00,0.00,0.00,0.00,0.91,0.14,0.19,0.14,0.19
369,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,4,1,98,25,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
370,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6,0,97,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.03,0.06
371,Albian Ajeti\Albian-Ajeti,ch SUI,FW,West Ham,22,1997,4,0,91,23,0,0,0,0,0,4,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06
372,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,1,1,90,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
373,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,1,1,90,90,0,0,0,0,1,2,0,0,0.0,0.0,0.3,0.00,0.00,0.00,0.00,1.00,0.03,0.36,0.03,0.36
374,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,1,1,90,90,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.04,0.14
375,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Brighton,25,1993,2,1,86,43,0,0,0,0,1,0,0,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,1.05,0.41,0.41,0.41,0.41
376,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,1,0,82,82,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
377,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,1,1,77,77,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
378,Martinelli\Martinelli,br BRA,MF,Arsenal,18,2001,4,0,75,19,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03
379,Keinan Davis\Keinan-Davis,eng ENG,,Aston Villa,21,1998,6,0,74,12,0,0,0,0,2,1,0,0,0.7,0.7,0.1,0.00,0.00,0.00,0.00,2.43,0.91,0.97,0.91,0.97
380,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,26,1993,3,1,71,24,1,0,0,0,1,2,0,1,0.1,0.1,0.0,1.27,1.27,1.27,1.27,1.27,0.18,0.22,0.18,0.22
381,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,2,1,67,34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
382,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,7,0,64,9,1,1,0,0,2,1,0,0,1.6,1.6,0.1,1.41,2.81,1.41,2.81,2.81,2.24,2.37,2.24,2.37
383,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,3,1,63,21,0,0,0,0,1,3,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1.43,0.03,0.03,0.03,0.03
384,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,1,1,60,60,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,4,0,58,15,0,1,0,0,0,0,0,0,0.1,0.1,0.0,0.00,1.55,0.00,1.55,0.00,0.19,0.25,0.19,0.25
386,Sebastian Prödl\Sebastian-Prodl,at AUT,MFDF,Watford,32,1987,1,1,57,57,0,0,0,0,0,1,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.14
387,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,3,0,56,19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,31,1988,4,0,56,14,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25
389,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Watford,26,1993,2,1,50,25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05
390,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,23,1995,2,0,48,24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
391,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,4,0,48,12,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
392,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,1,1,45,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.08
393,Phil Jagielka\Phil-Jagielka,eng ENG,MFDF,Sheffield Utd,36,1982,3,0,38,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
394,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,3,0,36,12,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.13,0.21,0.13,0.21
395,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,1,1,36,36,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
396,Isaac Success\Isaac-Success,ng NGA,FW,Watford,23,1996,2,0,34,17,0,0,0,0,1,0,0,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,2.65,0.29,0.68,0.29,0.68
397,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,19,2000,4,0,30,8,0,0,0,0,2,1,0,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,6.00,0.25,0.95,0.25,0.95
398,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,3,0,30,10,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26
399,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,3,0,28,9,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DFMF,Brighton,30,1989,2,0,28,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10
401,Eric\Eric,es ESP,DF,Manchester City,18,2001,1,0,27,27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402,Dennis Srbeny\Dennis-Srbeny,de GER,MF,Norwich City,25,1994,5,0,26,5,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,3,0,24,8,0,0,0,0,0,1,1,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.54,1.10,0.54,1.10
404,Tahith Chong\Tahith-Chong,nl NED,,Manchester Utd,19,1999,2,0,24,12,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,3,0,23,8,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,2,0,23,12,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,22,22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
408,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,2,0,20,10,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07
409,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FW,Aston Villa,29,1989,2,0,20,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410,Connor Wickham\Connor-Wickham,eng ENG,MFFW,Crystal Palace,26,1993,2,0,15,8,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411,Carlos Sánchez\Carlos-Sanchez,co COL,MF,West Ham,33,1986,3,0,14,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,2,0,14,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413,Ben Osborn\Ben-Osborn,eng ENG,MF,Sheffield Utd,24,1994,2,0,13,7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.00,1.12
414,Leon Clarke\Leon-Clarke,eng ENG,FW,Sheffield Utd,34,1985,1,0,13,13,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,0.00,2.83,2.83,2.83,2.83
415,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,1,0,12,12,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17
416,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MF,Liverpool,27,1991,2,0,11,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.11
417,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,1,0,9,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418,Muhamed Bešić\Muhamed-Besic,ba BIH,MFDF,Sheffield Utd,26,1992,1,0,9,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2,0,9,5,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.56
420,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
421,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,1,1,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
422,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
423,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,2,0,5,3,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,1,0,4,4,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,MF,Tottenham,24,1995,1,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.97,0.97,0.97,0.97
426,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,1,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427,Oliver Skipp\Oliver-Skipp,eng ENG,MF,Tottenham,18,2000,2,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,
428,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,1,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,
