,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-087,1993,10,4,428,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.6,0.6,1.0,0.13,0.22,0.35,0.13,0.35,Matches
49,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-260,1996,15,15,1260,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
50,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,Manchester Utd,23-254,1997,10,2,257,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,25-284,1995,13,13,1137,0,2,0,0,5,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,2.0,0.01,0.16,0.17,0.01,0.17,Matches
52,Saïd Benrahma\Said-Benrahma,dz ALG,MF,West Ham,25-140,1995,7,2,276,0,2,0,0,0,0,0.00,0.65,0.65,0.00,0.65,0.4,0.4,0.5,0.13,0.15,0.28,0.13,0.28,Matches
53,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-023,1999,4,2,172,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.09,0.00,0.09,0.09,0.09,Matches
54,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-025,1990,10,4,403,3,0,0,0,2,1,0.67,0.00,0.67,0.67,0.67,2.7,2.7,0.7,0.60,0.15,0.75,0.60,0.75,Matches
55,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-062,1990,4,3,240,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.16,0.03,0.19,0.16,0.19,Matches
56,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-318,1998,13,12,1016,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
57,Steven Bergwijn\Steven-Bergwijn,nl NED,MF,Tottenham,23-081,1997,10,6,590,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,0.13,0.04,0.17,0.13,0.17,Matches
58,Bernard\Bernard,br BRA,FW,Everton,28-111,1992,5,1,211,1,0,0,0,2,0,0.43,0.00,0.43,0.43,0.43,0.1,0.1,0.4,0.06,0.15,0.21,0.06,0.21,Matches
59,Bernardo\Bernardo,br BRA,DF,Brighton,25-228,1995,1,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-145,1989,14,14,1248,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.02,0.02,0.05,0.02,0.05,Matches
61,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-120,1996,14,14,1239,1,0,0,0,4,1,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,Matches
