id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
158,1,3,184,,,5,120250,0,0,0,0,179.4,182,115,0,3,1.3,,0,André Filipe,0.0,20,0,36.4,286,127,False,156.6,287,124,1457,,,55,0,0,0,120250.jpg,2.1,0,0,Tavares Gomes,0.4,False,,a,7,11,33.0,298,144,39,0,0,0,0,0.0,7.1,André Gomes,6,Everton,18.57142857142857,40.460091190248754,0.2,1.0,5.348881423323106,0.8,2.4000000000000004,2.1786202948595483,2.19949082724595,2.286574937142758,2.207376748399513
159,0,2,227,,,4,153133,0,0,0,0,383.7,92,64,0,3,1.6,,0,Alex,0.0,30,1,95.9,145,78,False,246.4,236,100,1591,,,60,0,0,0,153133.jpg,2.1,0,0,Iwobi,0.2,False,,a,7,11,329.0,104,57,52,0,0,0,0,0.0,8.7,Iwobi,0,Everton,24.76190476190476,68.53184189776414,2.3,11.5,7.131841897764139,2.3,6.9,2.767632076640476,2.7953376701859,2.8425223737477867,2.7998785246991775
160,0,0,0,,,0,153673,0,0,0,0,0.0,415,161,0,2,1.1,,0,Jonjoe,0.0,0,0,0.0,424,161,False,0.0,424,161,0,,,45,0,0,0,153673.jpg,0.0,0,0,Kenny,0.2,False,,a,7,11,0.0,401,157,0,0,0,0,0,0.0,0.0,Kenny,0,Everton,,,,,,,,,,,
161,0,0,14,0.0,,1,160987,0,0,0,0,6.3,341,158,0,3,0.0,,0,Jean-Philippe,0.0,0,0,2.6,368,155,False,20.0,358,150,135,Achilles injury - Unknown return date,2020-08-15T10:00:11.729677Z,50,0,0,0,160987.jpg,2.0,0,0,Gbamin,0.0,False,,i,7,11,0.0,456,183,4,0,0,0,0,0.0,0.8,Gbamin,0,Everton,2.0,3.576033384050181,0.0,0.0,0.5760333840501806,0.0,0.0,1.7880166920250904,1.806652685186427,1.9067808317696517,1.8156321858185454
162,1,8,419,,,5,164511,0,0,0,0,87.2,238,72,0,2,2.0,,0,Yerry,0.0,37,2,104.4,124,31,False,535.4,103,41,2281,,,55,1,0,0,164511.jpg,2.7,0,0,Mina,0.8,False,,a,7,11,422.0,78,6,78,0,0,0,0,0.0,14.2,Mina,3,Everton,28.88888888888889,90.7931386231583,2.2,13.2,33.281928856232646,0.2,0.6000000000000001,3.1428394138785567,3.223213843913675,3.589691359732856,3.2562784310800357
163,1,3,233,,,5,173807,0,0,0,0,122.6,214,125,0,3,1.3,,0,Tom,0.0,34,1,65.5,214,106,False,270.4,222,94,2020,,,55,0,0,0,173807.jpg,2.0,0,0,Davies,0.2,False,,a,7,11,262.0,133,78,59,0,0,0,0,0.0,10.7,Davies,8,Everton,29.5,65.60770218166579,1.9,9.5,8.496492414740164,0.3,0.8999999999999999,2.2239899044632474,2.246928841695639,2.3219387179469524,2.2538024892370205
164,1,15,385,,,8,177815,0,0,0,0,241.4,149,21,0,4,1.8,,0,Dominic,0.0,43,13,206.3,31,12,False,562.8,85,12,2621,,,70,0,0,0,177815.jpg,3.5,0,0,Calvert-Lewin,5.8,False,,a,7,11,1272.0,12,9,126,0,0,0,0,0.0,18.0,Calvert-Lewin,9,Everton,36.0,130.31120976692563,13.9,55.6,0.0,1.0,3.0,3.619755826859045,3.639623613759775,3.5236461727267194,3.629900354577197
165,4,6,412,75.0,,5,194164,0,0,0,0,63.9,267,88,0,2,1.2,,0,Mason,0.0,34,0,68.3,206,61,False,465.4,128,47,2052,Toe Injury - 75% chance of playing,2020-09-06T01:30:17.999031Z,50,0,0,0,194164.jpg,2.6,0,0,Holgate,0.5,False,,d,7,11,152.0,201,52,71,0,0,0,0,0.0,14.2,Holgate,5,Everton,27.30769230769231,87.70512388890472,2.2,13.2,31.460284821202173,0.4,1.2000000000000002,3.21173693114299,3.2927171384410983,3.6556584528127436,3.3254852593042723
166,5,13,519,,,9,212319,0,0,0,0,478.1,56,3,0,4,2.3,,0,Richarlison,0.0,51,13,252.3,19,7,False,814.6,28,6,3070,,,80,0,0,0,212319.jpg,4.6,0,0,de Andrade,10.8,False,,a,7,11,1233.0,15,10,165,0,0,0,0,0.0,20.6,Richarlison,8,Everton,35.869565217391305,130.2560488346282,9.0,36.0,0.0,4.9,14.7,3.6313807553896345,3.6486326272890635,3.5479254893515053,3.6401895922041336
167,0,0,0,,,0,222627,0,0,0,0,0.0,433,39,0,1,1.2,,0,João,0.0,0,0,0.0,442,48,False,0.0,442,48,0,,,45,0,0,0,222627.jpg,0.0,0,0,Virgínia,0.1,False,,a,7,11,0.0,422,35,0,0,0,0,0,0.0,0.0,Virgínia,0,Everton,,,,,,,,,,,
