,name,team,opp_team,was_home,gameweek,xP
354,Ezri Konsa Ngoyo,Aston Villa,Arsenal,0,5,2.2644274
355,Ezri Konsa Ngoyo,Aston Villa,Manchester City,1,6,1.9649955
356,Ezri Konsa Ngoyo,Aston Villa,Leicester City,0,7,2.4444149
357,Ezri Konsa Ngoyo,Aston Villa,Southampton,1,8,3.113039
358,Ezri Konsa Ngoyo,Aston Villa,Leeds United,0,9,2.4601398
359,Ezri Konsa Ngoyo,Aston Villa,Nottingham Forest,0,10,2.777544
360,Leon Bailey,Aston Villa,Bournemouth,0,1,2.3461895
361,Leon Bailey,Aston Villa,Everton,1,2,2.5364215
362,Leon Bailey,Aston Villa,Crystal Palace,0,3,2.450504
363,Leon Bailey,Aston Villa,West Ham,1,4,2.4005504
364,Leon Bailey,Aston Villa,Arsenal,0,5,2.2198312
365,Leon Bailey,Aston Villa,Manchester City,1,6,1.8587888
366,Leon Bailey,Aston Villa,Leicester City,0,7,2.429399
367,Leon Bailey,Aston Villa,Southampton,1,8,2.9411101
368,Leon Bailey,Aston Villa,Leeds United,0,9,2.460928
369,Leon Bailey,Aston Villa,Nottingham Forest,0,10,2.7137253
370,Jacob Ramsey,Aston Villa,Bournemouth,0,1,2.7545378
371,Jacob Ramsey,Aston Villa,Everton,1,2,2.9720078
372,Jacob Ramsey,Aston Villa,Crystal Palace,0,3,2.5691261
373,Jacob Ramsey,Aston Villa,West Ham,1,4,2.7082863
374,Jacob Ramsey,Aston Villa,Arsenal,0,5,2.3853686
375,Jacob Ramsey,Aston Villa,Manchester City,1,6,1.9881613
376,Jacob Ramsey,Aston Villa,Leicester City,0,7,2.4487436
377,Jacob Ramsey,Aston Villa,Southampton,1,8,3.0159402
378,Jacob Ramsey,Aston Villa,Leeds United,0,9,2.4018173
379,Jacob Ramsey,Aston Villa,Nottingham Forest,0,10,2.6659396
380,Carney Chukwuemeka,Aston Villa,Bournemouth,0,1,2.043221
381,Carney Chukwuemeka,Aston Villa,Everton,1,2,2.3463092
382,Carney Chukwuemeka,Aston Villa,Crystal Palace,0,3,2.1886158
383,Carney Chukwuemeka,Aston Villa,West Ham,1,4,2.3174176
384,Carney Chukwuemeka,Aston Villa,Arsenal,0,5,2.1878273
385,Carney Chukwuemeka,Aston Villa,Manchester City,1,6,1.8587888
386,Carney Chukwuemeka,Aston Villa,Leicester City,0,7,2.1699975
387,Carney Chukwuemeka,Aston Villa,Southampton,1,8,2.6860433
388,Carney Chukwuemeka,Aston Villa,Leeds United,0,9,2.374313
389,Carney Chukwuemeka,Aston Villa,Nottingham Forest,0,10,2.5115106
390,Tim Iroegbunam,Aston Villa,Bournemouth,0,1,2.0631373
391,Tim Iroegbunam,Aston Villa,Everton,1,2,2.307667
392,Tim Iroegbunam,Aston Villa,Crystal Palace,0,3,2.1919773
393,Tim Iroegbunam,Aston Villa,West Ham,1,4,2.3100374
394,Tim Iroegbunam,Aston Villa,Arsenal,0,5,2.210632
395,Tim Iroegbunam,Aston Villa,Manchester City,1,6,1.7654046
396,Tim Iroegbunam,Aston Villa,Leicester City,0,7,2.2795036
397,Tim Iroegbunam,Aston Villa,Southampton,1,8,2.7724771
398,Tim Iroegbunam,Aston Villa,Leeds United,0,9,2.374313
399,Tim Iroegbunam,Aston Villa,Nottingham Forest,0,10,2.555094
400,Anwar El Ghazi,Aston Villa,Bournemouth,0,1,2.2536643
