id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
452,0,0,0,100.0,100.0,0,199798,0,0,-1,1,0.0,0,2,-0.5,-0.5,0,Ezri,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.970602Z,44,0,0,0,199798.jpg,0.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,0.0,0,458,197,1781,327,0.0,0.0,Konsa,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
455,0,3,69,,,1,108156,0,0,0,0,1.8,1,2,2.7,2.7,2,Bjorn,3.2,6,0,10.3,False,89.4,360,,,45,0,0,0,108156.jpg,3.2,0,0,Engels,0.5,False,,a,2,7,11.0,13,26615,4683,9085,2935,0.7,2.9,Engels,0,3.0500000000000003,3.0800000000000005,2.542,0.6777777777777778,1.4377837884126468,4.0
458,0,0,23,,,1,203368,0,0,-1,1,16.7,0,2,1.0,1.0,1,Frédéric,1.5,1,0,4.7,False,18.2,180,,,44,0,0,0,203368.jpg,3.0,0,0,Guilbert,0.6,False,,a,2,7,12.0,6,21362,7599,19660,4371,0.3,1.4,Guilbert,2,2.74,2.592,2.37,0.6227272727272727,1.3062437472664614,2.0
465,0,0,-6,0.0,,1,148508,-1,1,-2,2,34.7,0,3,0.0,0.3,-2,Mahmoud Ahmed,0.8,3,0,18.7,False,27.0,282,Suspended until 22 Sep,2019-08-31T16:30:09.941826Z,53,0,0,0,148508.jpg,0.8,1,0,Ibrahim Hassan,1.5,False,,s,2,7,128.0,3,39902,474,140008,52104,0.1,0.6,Trézéguet,1,1.31,1.368,1.472,0.24716981132075475,0.5690276380196209,3.1333333333333333
470,0,2,49,,,2,230046,0,0,1,-1,25.6,0,3,3.3,3.3,2,Douglas Luiz,3.8,4,1,11.8,False,75.4,258,,,46,0,0,0,230046.jpg,3.8,0,0,Soares de Paulo,5.0,False,,a,2,7,16.0,15,347433,56069,97815,30236,0.8,3.3,Douglas Luiz,1,3.44,3.4480000000000004,2.772,0.7478260869565218,1.6039082701733396,2.8666666666666667
474,0,0,0,,,0,88175,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Lovre,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,a,2,7,0.0,0,406,125,1985,299,0.0,0.0,Kalinic,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
491,0,0,0,,,0,184704,-1,1,-1,1,0.0,0,3,-0.5,-0.5,0,Marvelous,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,184704.jpg,0.0,0,0,Nakamba,0.4,False,,a,2,7,0.0,0,13377,11470,8816,3475,0.0,0.0,Nakamba,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
58,0,0,53,100.0,100.0,0,56917,0,0,0,0,11.1,0,2,1.5,1.5,1,Steve,1.5,8,0,10.7,False,92.0,360,,2019-07-30T11:30:12.364426Z,50,0,0,0,56917.jpg,1.5,0,0,Cook,0.2,False,,a,3,91,4.0,6,3730,1072,5493,1160,0.3,1.2,Steve Cook,0,1.61,2.01,1.7299999999999998,0.322,0.7200138887549323,4.0
59,0,0,56,,,0,126184,0,0,-1,1,24.1,0,2,1.2,1.2,1,Nathan,1.2,8,0,18.1,False,92.0,360,,,49,0,0,0,126184.jpg,1.2,0,0,Aké,12.3,False,,a,3,91,65.0,5,73651,16541,414497,66123,0.2,1.0,Aké,1,1.41,1.7760000000000002,1.7080000000000002,0.2877551020408163,0.636973071548202,4.0
60,0,0,18,0.0,0.0,0,41320,-1,1,-1,1,29.6,0,2,0.0,0.0,0,Charlie,0.8,2,0,5.2,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,44,0,0,0,41320.jpg,1.5,0,0,Daniels,0.2,False,,i,3,91,0.0,3,2923,39,10371,2167,0.2,0.7,Daniels,0,1.6,1.8760000000000001,1.8200000000000003,0.36363636363636365,0.7627700713964739,1.4
