id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
600,0,0,3,,,0,223349,0,0,0,0,1.3,449,204,0,3,-1.5,-1.0,0,Indiana,0.0,0,0,0.7,484,209,False,1.2,484,208,36,,,45,0,0,0,223349.jpg,1.0,0,0,Vassilev,0.0,False,,a,2,7,4.0,424,198,2,1393,44,839,54,0.0,0.4,Vassilev,0,2.0,2.3057529611953846,1.1528764805976923,,,0.2561947734661538,0.5434711848674063,Aston Villa
603,0,2,110,,,0,8432,0,0,-2,2,10.0,412,4,1,1,-1.5,-1.0,0,José,0.0,13,0,20.8,374,24,False,197.8,285,24,540,,,43,0,0,1,8432.jpg,3.2,0,23,Reina,0.8,False,,a,2,7,0.0,517,39,19,181724,274,122724,5137,0.0,4.4,Reina,1,5.9375,22.630816414195195,3.8115059223907695,1.4640116853775351,3.677821197721448,0.8863967261373883,1.8380713727329645,Aston Villa
613,0,2,55,,,0,217487,-1,1,-5,5,71.6,287,44,0,4,0.0,0.5,2,Mbwana,1.5,14,1,31.1,336,48,False,58.8,395,52,586,,,55,0,0,0,217487.jpg,2.5,0,0,Samatta,0.4,False,,a,2,7,179.0,194,51,20,126880,230,97856,6133,0.3,3.6,Samatta,0,8.0,21.4,2.6750000000000003,2.4,,0.4863636363636364,1.140623832502516,Aston Villa
623,0,0,5,0.0,,0,83091,0,0,-2,2,1.7,448,69,0,4,0.0,-1.0,0,Borja,0.0,2,0,0.4,489,69,False,0.2,491,72,16,Contract with club expired on 30/6,2020-06-29T23:30:25.972633Z,53,0,0,0,83091.jpg,1.0,0,0,González Tomás,0.0,False,,u,2,7,2.0,436,69,2,1586,16,1146,133,0.0,0.4,Bastón,0,2.0,2.0,1.0,,,0.18867924528301888,0.4343722427630694,Aston Villa
58,0,5,336,100.0,100.0,3,56917,0,0,0,0,50.0,322,106,2,2,-0.7,-0.2,0,Steve,0.3,43,1,69.6,200,55,False,510.4,81,27,2107,,2020-03-07T15:00:16.074263Z,50,0,0,0,56917.jpg,1.9,1,0,Cook,0.2,False,,a,3,91,132.0,231,57,47,42697,113,49623,256,0.1,9.4,Steve Cook,6,24.73684210526316,55.835852294242194,2.257194028916174,1.4913564177260084,1.3293286350971576,0.4514388057832348,1.0094478574126382,Bournemouth
59,2,6,457,100.0,100.0,3,126184,0,0,-2,2,91.2,268,78,1,2,0.7,1.2,2,Nathan,1.7,40,2,104.9,107,22,False,631.4,47,15,2284,,2020-02-22T17:30:19.367467Z,48,0,0,0,126184.jpg,2.8,0,0,Aké,6.5,False,,a,3,91,326.0,99,11,72,606357,2068,1349310,6028,0.4,15.0,Aké,2,25.714285714285715,83.40507432449338,3.243530668174742,2.3176138678446594,2.7637874747846936,0.675735555869738,1.4804624274325917,Bournemouth
60,0,0,18,0.0,0.0,0,41320,0,0,-3,3,29.6,364,129,0,2,0.0,0.0,0,Charlie,0.0,2,0,5.2,439,157,False,22.4,433,160,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,42,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,,i,3,91,0.0,501,196,3,3400,40,17349,22,0.0,0.7,Daniels,0,2.0,5.0573667812366025,2.5286833906183013,,,0.6020674739567383,1.2338711526840722,Bournemouth
61,0,2,165,100.0,100.0,1,223911,0,0,-2,2,20.8,387,139,1,2,-0.7,-0.2,1,Chris,0.3,19,1,43.7,297,103,False,276.8,230,91,911,,2020-01-10T17:00:16.673521Z,43,0,0,0,223911.jpg,2.2,0,0,Mepham,0.6,False,,a,3,91,138.0,227,54,27,95102,33,123416,130,0.1,6.3,Mepham,1,12.272727272727273,31.683841612133694,2.5816463535812653,2.269568256531958,2.2695682565319544,0.6003828729258757,1.244980423396983,Bournemouth
62,0,1,161,75.0,75.0,1,15149,0,0,-1,1,64.4,297,93,0,2,-0.8,-0.4,0,Simon,0.0,21,0,40.2,314,110,False,263.8,243,98,964,Knee injury - 75% chance of playing,2020-06-27T02:00:26.872803Z,44,0,0,0,15149.jpg,1.1,1,0,Francis,0.0,False,,d,3,91,72.0,301,96,16,5357,9,4844,114,0.0,3.6,Francis,3,14.545454545454545,27.180849318084373,1.868683390618301,,1.4138379958206686,0.42470077059506833,0.8908598520495788,Bournemouth
63,1,3,275,100.0,100.0,3,54469,0,0,-2,2,171.8,194,47,1,2,-0.3,0.2,0,Adam,0.7,34,0,55.2,245,76,False,285.2,223,87,1827,,2019-11-30T15:00:18.860871Z,43,0,0,0,54469.jpg,2.0,0,0,Smith,0.4,False,,a,3,91,95.0,267,76,41,65944,113,139446,414,0.2,9.5,Adam Smith,7,20.5,51.0181887905437,2.488692136124083,1.8417389183682784,1.7778713195073372,0.5787656130521124,1.2001539192377892,Bournemouth
