id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 4,value,valuePoints metric
27,0,0,13,100.0,100.0,0,98770,0,0,-2,2,0.0,0,1,-0.5,-0.5,0,Ãrjan,0.5,2,0,2.3,False,22.8,82,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.0,0,3,Nyland,0.2,False,,a,2,7,0.0,2,3626,91,8532,175,0.1,0.5,Nyland,0,1.0,2.631048658850247,2.631048658850247,,0.6118717811279645,1.268804330511621
28,2,4,135,,,2,85242,0,0,-3,3,164.1,2,3,3.2,3.2,1,Conor,4.2,11,2,47.3,False,160.6,578,,,57,0,0,0,85242.jpg,3.6,0,0,Hourihane,0.2,False,,a,2,7,149.0,36,9782,762,18269,619,0.7,6.3,Hourihane,2,10.0,30.85122164712562,3.085122164712562,3.1641198284517933,0.5412495025811512,1.2922154762471927
29,4,7,252,100.0,100.0,3,114283,1,-1,0,0,432.5,1,3,3.2,3.2,2,Jack,4.2,20,3,110.6,False,382.4,1163,,2019-10-26T18:30:22.524063Z,60,0,0,0,114283.jpg,4.6,0,0,Grealish,5.7,False,,a,2,7,290.0,60,394064,74916,394402,8879,0.7,10.2,Grealish,3,13.043478260869565,59.704967365816024,4.577380831379228,5.405051057366759,0.7628968052298714,1.868707899212626
30,4,0,173,75.0,0.0,3,193488,0,0,0,0,221.6,0,3,0.0,0.0,0,Anwar,3.5,14,3,82.9,False,269.6,852,Knee injury - 75% chance of playing,2019-12-01T18:30:17.584307Z,55,0,0,0,193488.jpg,4.0,0,0,El Ghazi,1.2,False,,d,2,7,339.0,52,191894,612,148058,17664,0.6,9.5,El Ghazi,1,13.0,47.998108141263295,3.6921621647125615,3.328210878558964,0.6713022117659203,1.574343236835599
31,2,4,224,,,3,122806,-1,1,3,-3,314.0,0,3,1.2,1.2,2,John,2.2,24,3,104.0,False,361.0,1350,,,58,0,0,0,122806.jpg,3.8,0,0,McGinn,9.8,False,,a,2,7,366.0,57,1250520,5602,794548,61041,0.4,9.8,McGinn,1,15.0,58.24003247068842,3.8826688313792284,2.8511656423269955,0.6694256605826256,1.6121904810752392
32,0,0,0,0.0,0.0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,239,2,1254,11,0.0,0.0,Green,0,,,,,,
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,0,513,2,7148,42,0.0,0.0,Bjarnason,0,,,,,,
34,0,0,16,0.0,0.0,0,221239,0,0,-1,1,23.3,0,3,0.0,0.0,0,Keinan,0.0,1,0,8.2,False,14.4,74,Hamstring injury - Expected back 21 Dec,2019-10-30T23:30:12.401435Z,44,0,0,0,221239.jpg,1.0,0,0,Davis,0.2,False,,i,2,7,46.0,6,13301,25,24593,506,0.0,1.4,Davis,0,6.0,10.746572988275373,1.7910954980458953,,0.4070671586467943,0.8538712755764815
35,0,0,14,100.0,100.0,0,40564,0,0,-1,1,22.0,0,3,-0.2,-0.2,0,Henri,0.8,1,0,3.5,False,6.4,40,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.5,False,,a,2,7,5.0,5,67332,243,52346,1106,0.2,1.1,Lansbury,0,5.0,6.088810823562808,1.2177621647125618,1.2896632663739256,0.276764128343764,0.5805453333260783
36,1,0,35,100.0,100.0,2,89274,0,0,-2,2,54.8,0,3,-0.8,-0.8,1,JosÃ© Ignacio,0.2,3,0,13.5,False,42.0,259,,2019-10-17T13:00:14.384046Z,58,0,0,0,89274.jpg,2.2,0,0,Peleteiro Romallo,0.1,False,,a,2,7,39.0,13,10898,115,23868,105,0.0,2.2,Jota,0,5.909090909090907,12.469030973301498,2.1101437031741,0.9536090164046199,0.3638178798576035,0.876189481952205
