id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name,form 10
497,0,0,14,0.0,0.0,1,160987,0,0,-2,2,6.3,0,3,0.0,0.0,0,Jean-Philippe,0.0,0,0,2.6,False,20.0,135,Thigh injury - Expected back 18 Jan,2019-08-23T21:30:13.493993Z,48,0,0,0,160987.jpg,2.0,0,0,Gbamin,0.0,False,,i,8,11,0.0,4,2744,8,7094,18,0.0,0.8,Gbamin,0,2.0,3.5450635860680246,1.7725317930340123,,0.3692774568820859,0.8090463724498392,Everton,
511,4,9,248,100.0,100.0,3,102747,1,-1,-1,1,220.3,1,2,4.1,3.1,3,Djibril,4.1,16,0,59.2,False,294.8,1029,,2019-12-15T14:00:21.169468Z,54,0,0,0,102747.jpg,3.9,0,0,Sidib�?�?�?©,1.7,False,,a,8,11,77.0,51,144570,37348,49716,6172,0.8,9.6,Sidib�?�?�?©,2,13.076923076923075,49.847939452971275,3.81190125228604,4.4516410323047815,0.7059076393122297,1.6403811186101145,Everton,4.008006072736278
557,0,0,0,50.0,50.0,0,195855,0,0,0,0,0.0,0,3,0.0,-0.5,0,Beni,0.0,0,0,0.0,False,0.0,0,Shin injury - 50% chance of playing,2019-11-29T16:00:27.549912Z,45,0,0,0,195855.jpg,0.0,0,0,Baningime,0.0,False,,d,8,11,0.0,0,507,9,473,15,0.0,0.0,Baningime,0,,,,,,,Everton,
561,0,0,0,,,0,232826,0,0,0,0,0.0,0,4,0.0,-1.0,0,Anthony,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,232826.jpg,0.0,0,0,Gordon,0.0,False,,a,8,11,0.0,0,2196,130,1656,144,0.0,0.0,Gordon,0,,,,,,,Everton,
570,0,0,2,,,0,113688,0,0,0,0,0.3,0,4,0.2,-0.8,0,Oumar,0.2,0,0,0.3,False,3.0,1,,,45,0,0,0,113688.jpg,1.0,0,0,Niasse,0.0,False,,a,8,11,0.0,1,1941,224,956,200,0.0,0.2,Niasse,0,1.0,1.0,1.0,,0.2222222222222222,0.4714045207910317,Everton,
577,0,0,0,,,0,56192,0,0,0,0,0.0,0,2,0.0,-1.0,0,Rhu-endly,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,56192.jpg,0.0,0,0,Martina,0.0,False,,a,8,11,0.0,0,1188,189,492,146,0.0,0.0,Cuco Martina,0,,,,,,,Everton,
159,1,10,412,,,8,111931,0,0,4,-4,282.3,2,2,3.4,2.9,6,Ricardo Domingos,2.4,18,2,96.2,False,533.4,1800,,,64,0,0,0,111931.jpg,4.6,0,0,Barbosa Pereira,15.1,False,,a,9,13,147.0,92,1306036,26701,702188,27927,0.4,14.4,Pereira,1,20.0,78.74922207250778,3.9374611036253886,1.29651138059575,0.6152282974414669,1.5564181607220622,Leicester City,2.8043366755021264
161,3,3,339,100.0,100.0,7,172850,0,0,2,-2,352.7,1,2,2.6,2.1,6,Benjamin,1.6,16,1,79.1,False,337.4,1519,,2019-12-04T20:00:11.580379Z,57,0,0,0,172850.jpg,4.4,0,0,Chilwell,11.1,False,,a,9,13,101.0,75,1093096,19496,705739,21815,0.3,13.2,Chilwell,1,17.045454545454547,64.80180666040198,3.8017059907435833,1.68355862444173,0.6669659632883479,1.5923594123989022,Leicester City,2.7127579430484383
162,2,7,430,100.0,100.0,8,37642,1,-1,3,-3,45.2,2,2,5.4,4.9,6,Jonny,4.4,19,1,69.9,False,460.4,1854,,2019-11-23T17:00:22.413179Z,53,0,0,0,37642.jpg,4.1,0,0,Evans,7.0,False,,a,9,13,193.0,86,613931,34735,218553,13671,0.8,16.2,Evans,3,20.97560975609756,78.55896937407216,3.7452531910894864,2.1148331269780183,0.7066515454885823,1.6268340283290823,Leicester City,3.6186351518431614
163,0,2,89,,,2,37402,0,0,-2,2,39.8,0,2,3.3,2.8,8,Christian,2.3,3,0,15.3,False,95.0,454,,,43,0,0,0,37402.jpg,3.5,0,0,Fuchs,0.4,False,,a,9,13,18.0,21,21149,1610,31233,448,0.5,4.9,Fuchs,0,6.0,21.197834350836,3.532972391806,4.483081450260247,0.8216214864665117,1.7037505768746766,Leicester City,4.225501202984218
164,1,8,441,,,8,218031,0,0,6,-6,51.6,1,2,3.6,3.1,8,�?�?�?�?aglar,2.6,18,1,70.6,False,498.8,1800,,,51,0,0,0,218031.jpg,4.0,0,0,S�?�?�?¶y�?�?�?¼nc�?�?�?¼,19.6,False,,a,9,13,153.0,81,1828466,53015,522163,19790,0.5,15.9,S�?�?�?¶y�?�?�?¼nc�?�?�?¼,4,20.25,76.75329850379264,3.7902863458663023,2.6423870741269497,0.7431934011502555,1.6783670041792855,Leicester City,3.540320282638107
165,0,0,29,75.0,100.0,0,15033,0,0,-4,4,0.7,0,2,1.4,0.9,1,Wes,0.4,1,0,8.1,False,44.4,152,Groin Injury - 75% chance of playing,2020-01-05T01:00:12.013920Z,41,0,0,0,15033.jpg,1.2,0,0,Morgan,0.7,False,,d,9,13,36.0,7,28118,1163,81887,1296,0.1,1.7,Morgan,0,5.833333333333334,14.095116729979448,2.416305725139333,2.3955565232929907,0.5893428597900813,1.1933283396369838,Leicester City,2.416351453776598
166,5,25,529,75.0,,7,101668,0,0,11,-11,178.8,6,4,4.4,5.4,0,Jamie,4.9,18,17,169.6,True,704.8,1710,Calf injury - 75% chance of playing,2020-01-01T17:30:18.196991Z,101,0,0,0,101668.jpg,7.6,0,0,Vardy,48.9,False,,d,9,13,816.0,144,3696543,35846,1035855,221724,0.5,14.3,Vardy,2,18.94736842105264,117.11553784860556,6.181097830898628,4.5045310177898985,0.6119898842473891,1.9449342780807373,Leicester City,6.935207122265653
167,2,5,110,,,1,173515,0,0,-3,3,87.8,1,4,3.7,3.2,2,Kelechi,2.7,3,3,45.6,False,150.2,281,,,57,0,0,0,173515.jpg,6.0,0,0,Iheanacho,0.4,False,,a,9,13,217.0,30,35985,2571,40748,1633,0.5,5.3,Iheanacho,1,5.0,24.54621513944223,4.909243027888446,3.0543313745863188,0.8612707066470958,2.0562556289848333,Leicester City,
168,0,2,392,,,8,17745,0,0,4,-4,10.0,0,1,4.4,3.9,6,Kasper,3.4,19,0,47.0,True,459.6,1890,,,54,0,0,0,17745.jpg,4.0,0,54,Schmeichel,15.6,False,,a,9,13,0.0,84,1039395,52530,437347,15472,0.6,15.6,Schmeichel,0,21.0,78.142420227926,3.721067629901238,2.87347983282137,0.6890865981298588,1.6012925511909997,Leicester City,3.215127140745427
169,0,0,0,,,0,11974,0,0,-2,2,0.0,0,1,1.0,0.5,0,Eldin,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,11974.jpg,0.0,0,0,Jakupovic,0.1,False,,a,9,13,0.0,0,1285,39,5064,67,0.0,0.0,Jakupovic,0,,,,,,,Leicester City,
170,0,0,0,,,0,95463,0,0,-2,2,0.0,0,1,1.0,0.5,0,Danny,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,95463.jpg,0.0,0,0,Ward,0.2,False,,a,9,13,0.0,0,2080,42,8461,126,0.0,0.0,Ward,0,,,,,,,Leicester City,
171,5,14,394,100.0,100.0,7,172780,0,0,7,-7,798.6,1,3,6.1,5.6,11,James,5.1,16,6,180.2,False,503.8,1679,,2019-11-16T20:30:13.269322Z,77,0,0,0,172780.jpg,5.2,0,0,Maddison,27.1,False,,a,9,13,499.0,103,2504331,137230,1311360,26343,0.7,13.4,Maddison,2,19.80769230769231,94.33859023751673,4.762724944029969,3.2919496586341577,0.6185357070168791,1.7163669306364833,Leicester City,4.648684260101981
172,6,3,166,100.0,100.0,5,201666,0,0,-1,1,263.8,1,3,2.7,2.2,0,Harvey,1.7,8,1,91.6,False,200.0,1071,,2019-12-21T19:30:16.602039Z,59,0,0,0,201666.jpg,3.2,0,0,Barnes,0.6,False,,a,9,13,451.0,60,133881,529,116665,3509,0.3,10.2,Barnes,0,18.75,66.84007850491732,3.5648041869289235,3.4916229161119614,0.6042040994794785,1.467606658333242,Leicester City,3.8554136396689422
173,0,0,0,0.0,0.0,0,115858,0,0,-3,3,0.0,0,3,0.0,0.0,0,Rachid,0.0,0,0,0.0,False,0.0,0,Joined Fiorentina on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-18T22:00:13.300063Z,52,0,0,0,115858.jpg,0.0,0,0,Ghezzal,0.0,False,,n,9,13,0.0,0,566,3,3822,10,0.0,0.0,Ghezzal,0,,,,,,,Leicester City,
174,1,0,76,,,0,51938,0,0,-3,3,132.8,0,3,1.7,1.2,0,Marc,0.7,7,0,25.1,False,68.4,352,,,52,0,0,0,51938.jpg,1.4,0,0,Albrighton,0.2,False,,a,9,13,50.0,15,8420,67,20446,237,0.1,2.9,Albrighton,1,10.714285714285717,19.681069333487187,1.836899804458804,1.4621465430222718,0.3532499623959238,0.8055338520820539,Leicester City,1.6336910761159968
175,2,0,77,100.0,100.0,0,172632,0,0,-4,4,115.0,0,3,2.1,1.6,1,Demarai,1.1,3,1,35.4,False,103.8,386,,2019-12-01T23:30:20.997051Z,51,0,1,0,172632.jpg,1.8,0,0,Gray,0.3,False,,a,9,13,137.0,23,10153,298,34690,423,0.2,4.5,Gray,1,12.777777777777775,28.43163620585955,2.2250845726324866,3.2170601999634485,0.4362910926730366,0.9852840095544758,Leicester City,2.9069761502315488
176,1,5,328,100.0,100.0,8,203341,0,0,0,0,186.8,0,3,3.6,3.1,6,Wilfred,2.6,17,2,80.3,False,471.8,1730,,2019-08-27T11:00:13.484600Z,50,0,0,0,203341.jpg,3.1,0,0,Ndidi,2.6,False,,a,9,13,142.0,62,378923,5280,337144,5118,0.5,12.4,Ndidi,3,20.0,55.00463619541779,2.7502318097708893,2.6270737817738055,0.5500463619541779,1.2299410561059958,Leicester City,2.697114684497112
177,0,0,0,0.0,0.0,0,61604,0,0,-2,2,0.0,0,3,0.0,0.0,0,Matty,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - Unknown return date,2019-08-27T12:30:14.308742Z,43,0,0,0,61604.jpg,0.0,0,0,James,0.1,False,,i,9,13,0.0,0,10934,68,23755,207,0.0,0.0,James,0,,,,,,,Leicester City,
178,0,0,0,100.0,100.0,0,155569,0,0,-2,2,0.0,0,3,1.0,0.5,0,Daniel,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:07.144362Z,43,0,0,0,155569.jpg,0.0,0,0,Amartey,0.3,False,,a,9,13,0.0,0,26883,311,30815,994,0.0,0.0,Amartey,0,,,,,,,Leicester City,
179,0,0,20,100.0,100.0,0,86881,0,0,-2,2,15.3,0,3,1.3,0.8,0,Nampalys,0.3,1,0,2.6,False,11.2,70,,2019-07-30T15:00:09.217034Z,43,0,0,0,86881.jpg,1.5,0,0,Mendy,1.1,False,,a,9,13,0.0,3,88878,1368,90518,3724,0.1,0.7,Mendy,0,2.0,3.9081528625696658,1.9540764312848329,2.5690253502400457,0.4544363793685658,0.9423393329594852,Leicester City,2.569025350240047
180,1,0,101,,,1,197469,0,0,-2,2,48.4,0,3,2.3,1.8,6,Hamza,1.3,6,1,23.4,False,118.0,456,,,43,0,0,0,197469.jpg,1.9,0,0,Choudhury,0.9,False,,a,9,13,68.0,23,115910,6363,107096,3233,0.3,5.3,Choudhury,2,12.105263157894738,20.204032790537518,1.669028795740056,1.4871500552128067,0.3881462315674549,0.8048771567413691,Leicester City,1.4692614031958782
