id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,prior,value,valuePoints_metric,games_played
25,0,0,0,,,0,123354,0,0,0,0,0.0,0,2,,,0,Kortney,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Hause,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
26,0,0,0,,,0,54764,0,0,0,0,0.0,0,4,,,0,Jonathan,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,54764.jpg,0.0,0,0,Kodjia,0.5,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Kodjia,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
27,0,0,0,100.0,,0,98770,0,0,0,0,0.0,0,1,,,0,Ørjan,0.0,0,0,0.0,False,0.0,0,,2019-07-30T15:00:08.973693Z,45,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Nyland,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
28,0,0,0,,,0,85242,0,0,0,0,0.0,0,3,,,0,Conor,0.0,0,0,0.0,False,0.0,0,,,60,0,0,0,85242.jpg,0.0,0,0,Hourihane,0.3,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Hourihane,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.3333333333333333,0.816496580927726,0.0
29,0,0,0,,,0,114283,0,0,0,0,0.0,0,3,,,0,Jack,0.0,0,0,0.0,False,0.0,0,,,60,0,0,0,114283.jpg,0.0,0,0,Grealish,6.7,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Grealish,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.3333333333333333,0.816496580927726,0.0
30,0,0,0,100.0,,0,193488,0,0,0,0,0.0,0,3,,,0,Anwar,0.0,0,0,0.0,False,0.0,0,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,0.0,0,0,El Ghazi,0.3,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,El Ghazi,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
31,0,0,0,,,0,122806,0,0,0,0,0.0,0,3,,,0,John,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,122806.jpg,0.0,0,0,McGinn,2.5,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,McGinn,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
32,0,0,0,0.0,,0,174597,0,0,0,0,0.0,0,3,,,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,50,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,0,0,0,0,0.0,0.0,Green,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4,0.8944271909999159,0.0
33,0,0,0,0.0,,0,27770,0,0,0,0,0.0,0,3,,,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.3,False,,u,2,7,0.0,0,0,0,0,0,0.0,0.0,Bjarnason,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
34,0,0,0,,,0,221239,0,0,0,0,0.0,0,3,,,0,Keinan,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,221239.jpg,0.0,0,0,Davis,0.3,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Davis,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
