id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
309,2,9,217,100.0,100.0,2,169359,0,0,-1,1,230.3,1,2,2.6,2.1,0,Matt,2.6,18,1,52.8,False,267.0,903,,2019-12-09T10:30:13.572626Z,44,0,0,0,169359.jpg,3.6,0,0,Targett,1.4,False,,a,2,7,30.0,40,97817,20574,85252,2752,0.6,9.1,Targett,3,11.111111111111107,34.735118596698584,3.1261606737028726,1.6233261128536605,0.7104910622051983,1.4903386251732431,Aston Villa
428,1,7,151,100.0,100.0,4,213345,0,0,-3,3,137.8,1,4,1.6,1.1,2,Wesley,1.6,25,4,85.6,False,242.0,1442,,2019-10-19T19:00:18.658995Z,57,0,1,0,213345.jpg,3.3,0,0,Moraes,1.7,False,,a,2,7,489.0,56,386496,6013,359782,5887,0.3,9.8,Wesley,2,16.96969696969697,58.845283018867924,3.46766846361186,2.1731423458736727,0.6083628883529579,1.4524464886436868,Aston Villa
429,0,0,3,0.0,0.0,0,79852,0,0,-1,1,0.0,0,1,0.0,0.0,0,Jed,0.0,0,0,0.0,False,0.0,7,Achilles injury - Unknown return date,2019-11-10T16:00:17.790777Z,44,0,0,0,79852.jpg,1.0,0,0,Steer,0.1,False,,i,2,7,0.0,1,1056,16,5676,115,0.0,0.2,Steer,0,1.0,1.5350097303066463,1.5350097303066463,,0.34886584779696506,0.7317871759876766,Aston Villa
445,1,3,274,0.0,0.0,3,149484,0,0,0,0,60.4,0,2,0.0,0.0,0,Tyrone,2.8,25,1,52.5,False,412.0,1372,Hamstring injury - Unknown return date,2019-12-08T16:00:13.818311Z,45,0,0,0,149484.jpg,2.7,0,0,Mings,3.9,False,,i,2,7,52.0,43,464525,264,349467,35763,0.6,9.6,Mings,3,15.925925925925926,37.16580835338117,2.333667036142539,1.3785235741671624,0.518592674698342,1.100101190858601,Aston Villa
452,1,0,84,100.0,100.0,1,199798,0,0,-2,2,22.2,0,2,2.2,1.7,0,Ezri,2.2,11,0,19.1,False,147.0,465,,2019-08-05T15:00:10.970602Z,43,0,0,0,199798.jpg,2.2,0,0,Konsa Ngoyo,0.1,False,,a,2,7,21.0,13,3408,324,3969,252,0.5,3.0,Konsa,0,5.909090909090907,10.406704152498106,1.7611345488842949,1.3171258976555686,0.4095661741591384,0.849294495075778,Aston Villa
455,0,4,201,100.0,100.0,3,108156,0,0,0,0,5.5,1,2,0.4,-0.1,1,Bjorn,0.4,22,0,28.0,False,249.4,1131,,2019-11-26T01:30:25.806514Z,45,0,0,0,108156.jpg,2.5,0,0,Engels,0.7,False,,a,2,7,23.0,33,93093,1093,69982,1039,0.1,7.3,Engels,1,13.2,29.86212844004773,2.2622824575793734,1.1229684105264996,0.5027294350176386,1.066450177809162,Aston Villa
458,2,2,207,100.0,100.0,4,203368,0,0,-1,1,130.1,1,2,2.0,1.5,1,FrÃÂ©dÃÂ©ric,2.0,17,0,43.3,False,269.6,1154,,2019-12-01T19:30:19.368861Z,44,0,0,0,203368.jpg,2.9,0,0,Guilbert,0.8,False,,a,2,7,33.0,40,83659,3501,64915,1273,0.5,9.1,Guilbert,5,13.793103448275865,31.47001059368959,2.281575768042495,1.5110381068563392,0.5185399472823852,1.087698569678899,Aston Villa
465,1,2,109,100.0,100.0,1,148508,0,0,-3,3,123.8,0,3,2.4,1.9,1,Mahmoud Ahmed,2.4,18,3,78.7,False,230.6,880,,2019-08-31T16:30:09.941826Z,52,0,0,0,148508.jpg,2.6,1,0,Ibrahim Hassan,1.5,False,,a,2,7,436.0,39,128695,2820,229200,6530,0.5,7.5,TrÃÂ©zÃÂ©guet,2,15.0,35.35156950751785,2.35677130050119,2.231150482099185,0.45322525009638265,1.0335125843886124,Aston Villa
470,0,2,156,,,4,230046,0,0,0,0,66.2,0,3,1.8,1.3,1,Douglas Luiz,1.8,17,2,43.2,False,180.6,871,,,45,0,0,0,230046.jpg,2.6,0,0,Soares de Paulo,3.6,False,,a,2,7,184.0,39,547877,3495,379069,9960,0.4,8.7,Douglas Luiz,1,15.0,32.50628648864992,2.1670857659099947,1.862311102622103,0.4815746146466655,1.021574026991867,Aston Villa
474,0,0,0,,,0,88175,0,0,-1,1,0.0,0,1,0.0,-0.5,0,Lovre,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,a,2,7,0.0,0,1271,42,3947,81,0.0,0.0,Kalinic,0,,,,,,,Aston Villa
491,0,0,152,,,1,184704,0,0,-1,1,100.9,0,3,0.8,0.3,2,Marvelous,0.8,20,0,31.2,False,188.6,920,,,44,0,0,0,184704.jpg,1.8,0,0,Nakamba,1.0,False,,a,2,7,21.0,20,122680,556,77862,2392,0.2,4.5,Nakamba,2,11.111111111111107,21.88613813974068,1.9697524325766609,1.6234745814594955,0.4476710074037865,0.9390426272686735,Aston Villa
