id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
557,0,0,0,100.0,100.0,0,195855,0,0,0,0,0.0,0,3,-0.5,-0.5,0,Beni,0.0,0,0,0.0,False,0.0,0,,2019-11-29T16:00:27.549912Z,45,0,0,0,195855.jpg,0.0,0,0,Baningime,0.0,False,,a,8,11,0.0,0,768,22,640,18,0.0,0.0,Baningime,0,,,,,,,,Everton
561,0,0,2,,,0,232826,0,0,0,0,7.4,0,4,-0.5,-0.5,0,Anthony,0.0,0,0,2.0,False,0.0,45,,,45,0,0,0,232826.jpg,1.0,0,0,Gordon,0.0,False,,a,8,11,14.0,1,3511,87,2813,76,0.0,0.2,Gordon,0,1.0,1.8,1.8,,,0.4,0.8485281374238571,Everton
570,0,0,1,,,0,113688,0,0,0,0,1.8,0,4,-0.5,-0.5,0,Oumar,0.0,2,0,0.9,False,7.0,19,,,45,0,0,0,113688.jpg,1.0,0,0,Niasse,0.0,False,,a,8,11,0.0,3,3594,76,2261,80,0.0,0.7,Niasse,0,3.0,3.0,1.0,1.0,1.0,0.2222222222222222,0.4714045207910317,Everton
577,0,0,0,,,0,56192,0,0,0,0,0.0,0,2,-0.5,-0.5,0,Rhu-endly,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,56192.jpg,0.0,0,0,Martina,0.0,False,,a,8,11,0.0,0,2536,63,1526,55,0.0,0.0,Cuco Martina,0,,,,,,,,Everton
629,0,0,0,,,0,222627,0,0,0,0,0.0,0,1,0.7,0.7,0,João Manuel,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,222627.jpg,0.0,0,0,Neves Virgínia,0.0,False,,a,8,11,0.0,0,32,32,5,5,0.0,0.0,Virgínia,0,,,,,,,,Everton
159,2,11,542,,,9,111931,0,0,3,-3,414.2,3,2,3.8,3.8,2,Ricardo Domingos,2.8,27,3,137.3,False,724.0,2430,,,63,0,0,0,111931.jpg,4.3,0,0,Barbosa Pereira,14.0,False,,a,9,13,235.0,117,1559130,10221,1042420,16962,0.4,18.6,Pereira,1,27.209302325581397,107.48997136254313,3.950486126999449,4.209182432907123,3.979640104439107,0.6270612899999125,1.5739113465894554,Leicester City
161,3,3,428,100.0,100.0,8,172850,0,0,1,-1,443.9,1,2,5.0,5.0,2,Benjamin,4.0,23,2,106.7,False,455.2,2059,,2019-12-04T20:00:11.580379Z,56,0,0,0,172850.jpg,4.1,0,0,Chilwell,9.3,False,,a,9,13,167.0,94,1228134,6154,976444,9668,0.7,16.8,Chilwell,2,22.92682926829269,83.03902395905978,3.6219148748100536,3.3832368039476104,3.0785950979564736,0.6467705133589382,1.5305383833551098,Leicester City
162,2,10,551,100.0,100.0,9,37642,0,0,2,-2,69.5,3,2,4.2,4.2,2,Jonny,3.2,28,1,94.5,False,607.2,2484,,2019-11-23T17:00:22.413179Z,52,0,0,0,37642.jpg,3.7,0,0,Evans,6.4,False,,a,9,13,267.0,103,760609,5887,406329,6991,0.6,19.8,Evans,4,27.837837837837835,101.71544863702145,3.6538559219124216,3.7775127852051136,3.4433469916776653,0.7026646003677733,1.6023218188528838,Leicester City
163,0,2,119,,,2,37402,0,0,-3,3,47.7,0,2,1.5,1.5,0,Christian,0.5,6,0,19.7,False,131.2,634,,,42,0,0,0,37402.jpg,3.0,0,0,Fuchs,0.4,False,,a,9,13,18.0,24,25983,133,36626,257,0.1,5.7,Fuchs,0,8.0,26.13387474956027,3.2667343436950333,2.664157991109996,3.0555238414698964,0.7777938913559603,1.5940031421577308,Leicester City
164,1,9,555,,,9,218031,0,0,5,-5,68.5,1,2,4.0,4.0,2,Çaglar,3.0,27,1,89.3,False,622.8,2430,,,50,0,0,0,218031.jpg,3.6,0,0,Söyüncü,16.3,False,,a,9,13,199.0,97,2086663,9202,1017596,16873,0.6,19.4,Söyüncü,4,26.94444444444445,96.39223322474855,3.5774437073102563,3.4100496007089003,3.065241535490069,0.7154887414620512,1.599881463044919,Leicester City
