id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,value,valuePoints_metric,games_played
32,0,0,0,0.0,0.0,0,174597,0,0,0,0,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,50,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,31,31,404,404,0.0,0.0,Green,0,0.0,0.0,0.0,0.0
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.1,False,,u,2,7,0.0,0,99,99,1998,1998,0.0,0.0,Bjarnason,0,0.0,0.0,0.0,0.0
34,0,0,0,,,0,221239,0,0,0,0,0.0,0,3,0.5,0.0,0,Keinan,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,221239.jpg,0.0,0,0,Davis,0.4,False,,a,2,7,0.0,0,2617,2617,2543,2543,0.0,0.0,Davis,0,0.0,0.0,0.0,0.0
35,0,0,0,,,0,40564,0,0,0,0,0.0,0,3,0.5,0.0,0,Henri,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,40564.jpg,0.0,0,0,Lansbury,0.2,False,,a,2,7,0.0,0,562,562,1026,1026,0.0,0.0,Lansbury,0,0.0,0.0,0.0,0.0
36,0,0,1,,,0,89274,0,0,0,0,0.8,0,3,1.6,1.1,1,José Ignacio,1.0,3,0,0.4,False,3.6,31,,,60,0,0,0,89274.jpg,1.0,0,0,Peleteiro Romallo,0.3,False,,a,2,7,0.0,1,813,813,2760,2760,0.2,0.2,Jota,0,0.8300000000000001,0.13833333333333334,0.3388460810850063,0.34444444444444444
94,0,0,15,,,0,21205,0,0,0,0,0.0,0,1,1.2,0.7,2,Tom,2.0,3,0,2.4,False,24.2,90,,,45,0,0,0,21205.jpg,2.0,0,3,Heaton,6.8,False,,a,2,7,0.0,2,28121,28121,14709,14709,0.4,0.4,Heaton,0,2.41,0.5355555555555556,1.1360848951063864,1.0
309,0,0,0,,,0,169359,0,0,0,0,0.0,0,2,1.1,0.6,0,Matt,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,169359.jpg,0.0,0,0,Targett,1.2,False,,a,2,7,0.0,0,532,532,7831,7831,0.0,0.0,Targett,0,2.3000000000000003,0.5111111111111112,1.084230397819373,0.0
428,0,0,2,,,0,213345,0,0,0,0,1.1,0,4,1.3,0.8,2,Wesley,2.0,1,0,2.3,False,5.0,73,,,60,0,0,0,213345.jpg,2.0,0,0,Moraes,1.1,False,,a,2,7,17.0,2,9333,9333,7692,7692,0.3,0.3,Wesley,0,1.46,0.24333333333333332,0.5960425040772399,0.8111111111111111
429,0,0,0,100.0,100.0,0,79852,0,0,0,0,0.0,0,1,1.2,0.7,0,Jed,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.959066Z,45,0,0,0,79852.jpg,0.0,0,0,Steer,0.2,False,,a,2,7,0.0,0,134,134,852,852,0.0,0.0,Steer,0,0.0,0.0,0.0,0.0
445,1,2,31,,,0,149484,0,0,0,0,10.0,0,2,1.1,0.6,6,Tyrone,6.0,3,0,8.3,False,72.6,90,,,45,0,0,0,149484.jpg,6.0,0,0,Mings,2.2,False,,a,2,7,0.0,6,24480,24480,6314,6314,1.3,1.3,Mings,0,3.62,0.8044444444444445,1.7064843652635349,1.0
452,0,0,0,100.0,100.0,0,199798,0,0,0,0,0.0,0,2,1.1,0.6,0,Ezri,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.970602Z,45,0,0,0,199798.jpg,0.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,0.0,0,75,75,378,378,0.0,0.0,Konsa,0,0.0,0.0,0.0,0.0
