id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,adjusted value,valuePoints metric,valueAdjustedPoints metric
125,0,0,30,100.0,100.0,0,40784,0,0,0,0,10.8,0,2,-1.0,-0.5,0,Mamadou,0.0,5,0,4.5,False,29.4,191,,2019-09-27T13:30:11.718603Z,50,0,0,0,40784.jpg,1.0,0,0,Sakho,0.1,False,,a,Crystal Palace,31,4.0,3,2850,89,6146,38,0.0,0.6,Sakho,0,3.0,6.259163567299278,2.086387855766425,1.21,1.21,0.0,1.764,1.764,0.242,0.417277571153285,0.5411284505549491,0.9330610145847505
126,1,5,185,75.0,,3,55494,0,0,1,-1,60.7,0,2,0.0,0.5,1,Joel,1.0,14,0,29.8,False,206.6,1033,Groin Injury - 75% chance of playing,2019-11-09T15:00:21.032099Z,46,0,0,0,55494.jpg,3.0,0,0,Ward,3.0,False,,d,Crystal Palace,31,30.0,36,269006,292,122178,8454,0.2,7.8,Ward,2,12.0,34.32645018756445,2.860537515630371,3.01,1.18,1.04,3.5260000000000002,3.5260000000000002,0.6543478260869565,0.6218559816587764,1.403419736401672,1.3337324937385615
127,0,0,40,100.0,100.0,1,19188,0,0,-2,2,0.4,0,2,-0.8,-0.3,0,Scott,0.2,1,0,10.7,False,37.4,187,,2019-08-30T13:00:12.954955Z,43,0,0,0,19188.jpg,3.0,0,0,Dann,0.2,False,,a,Crystal Palace,31,69.0,9,8306,37,15512,157,0.0,2.1,Dann,0,3.0,8.559163567299276,2.853054522433092,2.87,1.76,1.32,2.8120000000000003,2.8120000000000003,0.6674418604651163,0.6635010517286261,1.3840368996290828,1.3758650647041917
128,1,2,120,100.0,100.0,3,58786,0,0,1,-1,12.5,0,2,-1.0,-0.5,0,Martin,0.0,5,0,14.6,False,125.6,574,,2019-10-20T11:30:19.277461Z,41,0,0,0,58786.jpg,4.1,0,0,Kelly,24.6,False,,a,Crystal Palace,31,8.0,29,901782,7689,762989,19721,0.0,7.1,Kelly,0,7.073170731707318,23.366685629885968,3.3035658993976718,3.88,3.66,1.12,3.718,3.718,0.9463414634146342,0.8057477803408957,1.9161954175002038,1.6315149066587007
129,0,0,42,,,1,54861,0,0,-3,3,71.4,0,4,-0.2,0.3,0,Christian,0.8,4,0,25.3,False,58.0,267,,,57,0,0,0,54861.jpg,1.1,0,0,Benteke,0.6,False,,a,Crystal Palace,31,124.0,11,26540,119,65699,499,0.1,1.9,Benteke,1,10.0,16.1,1.61,1.13,0.78,1.07,1.266,1.2660000000000005,0.1982456140350877,0.2824561403508772,0.4733049163696159,0.6743547923496298
130,0,0,3,100.0,100.0,0,59125,0,0,0,0,0.8,0,4,-1.0,-0.5,0,Connor,0.0,0,0,0.2,False,0.0,15,,2019-09-13T12:30:19.022759Z,45,0,0,0,59125.jpg,1.0,0,0,Wickham,2.7,False,,a,Crystal Palace,31,2.0,2,252227,385,418285,2075,0.0,0.4,Wickham,0,2.0,2.0,1.0,1.12,1.12,2.0,1.472,1.4720000000000002,0.2488888888888889,0.2222222222222222,0.5279730632859555,0.4714045207910317
131,0,2,176,100.0,100.0,3,40836,0,0,0,0,0.0,1,1,0.0,0.5,2,Vicente,1.0,12,0,21.6,False,216.6,900,,2019-10-20T11:30:19.312033Z,50,0,0,0,40836.jpg,3.4,0,26,Guaita,0.6,False,,a,Crystal Palace,31,0.0,34,47412,352,45518,607,0.2,6.8,Guaita,1,10.0,31.863878557664258,3.1863878557664256,3.45,2.61,1.29,3.8139999999999996,3.8139999999999996,0.6900000000000001,0.6372775711532851,1.542886904474855,1.4249959696347045
132,0,0,42,,,0,20066,0,0,-1,1,0.0,0,1,0.5,1.0,0,Wayne,1.5,4,0,8.7,False,87.4,180,,,44,0,0,0,20066.jpg,3.0,0,13,Hennessey,0.7,False,,a,Crystal Palace,31,0.0,6,10950,413,37443,647,0.3,1.4,Hennessey,0,2.0,7.972775711532853,3.9863878557664254,3.2,3.2,3.2,3.6,3.6,0.7272727272727273,0.9059972399469148,1.5255401427929478,1.9004358433481203
133,2,0,83,75.0,,2,82403,0,0,-3,3,170.4,0,3,1.1,2.0,1,Wilfried,2.5,16,0,70.2,False,156.2,1015,Foot injury - 75% chance of playing,2019-11-09T19:30:18.645135Z,67,0,0,0,82403.jpg,2.4,0,0,Zaha,8.0,False,,d,Crystal Palace,31,375.0,29,269713,1570,954950,16525,0.4,4.3,Zaha,2,12.083333333333336,35.75930515102912,2.9593907711196508,2.51,2.42,2.42,2.778,2.778,0.3746268656716418,0.4417001150924852,0.969697598654251,1.1433124000933377
134,0,6,152,100.0,100.0,3,66975,0,0,-3,3,259.5,1,3,2.8,3.3,2,Luka,3.8,15,2,54.9,False,205.8,975,,2019-09-29T09:30:20.636934Z,67,0,0,0,66975.jpg,3.2,0,0,Milivojevic,2.6,False,,a,Crystal Palace,31,83.0,35,38028,1113,376869,1680,0.6,5.2,Milivojevic,6,10.9375,37.29715429311132,3.4100255353701776,3.27,3.61,3.19,3.4840000000000004,3.4840000000000004,0.4880597014925373,0.5089590351298773,1.2633112141830283,1.3174077980072263
