,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
61,60,Trevoh Chalobah,eng ENG,DF,Chelsea,22-151,1999,9,8,693,7.7,2,0,2,0,0,0,0,0.26,0.0,0.26,0.26,0.26,0.5,0.5,0.0,0.5,0.07,0.0,0.07,0.07,0.07,Matches
62,61,Calum Chambers,eng ENG,DF,Arsenal,26-317,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches
63,62,Ben Chilwell,eng ENG,DF,Chelsea,24-347,1996,6,6,540,6.0,3,1,3,0,0,0,0,0.5,0.17,0.67,0.5,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,Matches
64,63,Hamza Choudhury,eng ENG,MF,Leicester City,24-063,1997,1,1,59,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
65,64,Andreas Christensen,dk DEN,DF,Chelsea,25-237,1996,9,9,810,9.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.03,0.01,0.05,0.03,0.05,Matches
66,65,Carney Chukwuemeka,eng ENG,MF,Aston Villa,17-330,2004,2,1,86,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.41,0.0,0.41,0.41,0.41,Matches
67,66,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-068,1989,11,11,901,10.0,0,1,0,0,0,2,1,0.0,0.1,0.1,0.0,0.1,0.8,0.8,0.3,1.1,0.08,0.03,0.11,0.08,0.11,Matches
68,67,Tom Cleverley,eng ENG,MF,Watford,32-113,1989,10,7,623,6.9,0,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,0.3,0.3,1.0,1.4,0.05,0.15,0.2,0.05,0.2,Matches
69,68,Conor Coady,eng ENG,DF,Wolves,28-281,1993,14,14,1256,14.0,1,0,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,1.0,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches
70,69,Séamus Coleman,ie IRL,DF,Everton,33-053,1988,11,11,990,11.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,0.01,0.06,0.08,0.01,0.08,Matches
