,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
117,114,Karl Darlow,eng ENG,GK,Newcastle Utd,29.0,1990.0,25,25,2250,25.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
118,115,Ben Davies,wls WAL,DF,Tottenham,27.0,1993.0,20,14,1346,15.0,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,Matches
119,116,Tom Davies,eng ENG,MF,Everton,22.0,1998.0,25,17,1423,15.8,0,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matches
120,117,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22.0,1998.0,15,1,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,1.0,1.0,0.5,1.5,0.34,0.16,0.49,0.34,0.49,Matches
121,118,Leif Davis,eng ENG,DF,Leeds United,20.0,2000.0,2,0,33,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
122,119,Craig Dawson,eng ENG,DF,West Ham,30.0,1990.0,22,22,1925,21.4,3,0,3,0,0,5,1,0.14,0.0,0.14,0.14,0.14,1.7,1.7,0.0,1.7,0.08,0.0,0.08,0.08,0.08,Matches
123,120,Kevin De Bruyne,be BEL,MF,Manchester City,29.0,1991.0,25,23,1997,22.2,6,12,4,2,3,1,0,0.27,0.54,0.81,0.18,0.72,9.7,7.4,10.2,17.6,0.44,0.46,0.9,0.34,0.79,Matches
124,121,Liam Delap,eng ENG,FW,Manchester City,17.0,2003.0,1,0,40,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
125,122,Fabian Delph,eng ENG,"MF,DF",Everton,30.0,1989.0,8,2,266,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
126,123,Leander Dendoncker,be BEL,"MF,DF",Wolves,25.0,1995.0,33,28,2503,27.8,1,0,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,Matches
