id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
108,2,1,59,,,0,94245,0,0,0,0,42.9,290,44,0,4,2.8,,0,Michy,0.0,8,1,28.3,300,44,False,61.8,334,43,224,,,60,0,0,0,94245.jpg,1.8,0,0,Batshuayi,0.4,False,,a,5,8,185.0,181,43,28,0,0,0,0,0.0,4.7,Batshuayi,0,Chelsea,15.555555555555555,28.822419533851274,2.2,8.8,0.0,0.2,0.6000000000000001,1.8528698271761528,1.8812189324434958,1.7651209798161158,1.8504545128398555
109,0,5,351,,,5,102380,0,0,0,0,93.3,234,69,0,2,3.1,,0,Antonio,0.0,24,2,67.7,209,63,False,389.4,165,60,1710,,,50,1,0,0,102380.jpg,3.1,0,0,Rüdiger,1.8,False,,a,5,8,194.0,171,37,63,0,0,0,0,0.0,12.6,Rüdiger,3,Chelsea,20.322580645161292,65.66102594616906,0.5,3.0,30.461025946169066,0.4,1.2000000000000002,3.230939371954351,3.3890981039137964,2.8137630336567687,3.213728602785067
110,0,2,432,,,7,103192,0,0,0,0,40.1,293,102,0,2,3.1,,0,Kurt,0.0,37,0,71.7,191,54,False,518.0,112,43,2343,,,50,1,0,0,103192.jpg,2.2,0,0,Zouma,0.9,False,,a,5,8,162.0,196,50,62,0,0,0,0,0.0,12.4,Zouma,6,Chelsea,28.18181818181818,81.04104752419694,0.7,4.199999999999998,42.24104752419694,0.2,0.6000000000000001,2.8756500734392456,3.0321037802820747,2.4637512910748045,2.858584570639713
111,0,0,181,,,1,109533,0,0,0,0,298.7,119,27,0,2,3.1,,0,Emerson,0.0,21,0,73.2,188,52,False,207.8,262,98,1022,,,50,0,0,0,109533.jpg,1.3,0,0,Palmieri dos Santos,0.2,False,,a,5,8,225.0,152,29,19,0,0,0,0,0.0,3.8,Emerson,3,Chelsea,14.615384615384615,47.10664747532795,1.0,6.0,21.90664747532794,1.4,4.199999999999998,3.223086406206649,3.404290323485654,2.7345784181120143,3.203912211174006
112,0,0,507,,,8,109745,0,0,0,0,0.0,455,48,0,1,3.5,,0,Kepa,0.0,47,0,50.2,258,18,False,503.6,117,17,2970,,,50,0,0,0,109745.jpg,2.7,0,55,Arrizabalaga,2.2,False,,a,5,8,0.0,449,44,90,0,0,0,0,0.0,18.0,Arrizabalaga,0,Chelsea,33.33333333333333,107.96252932969529,0.0,0.0,49.96252932969529,0.0,0.0,3.238875879890859,3.3873391731694316,2.851709785686465,3.22249115203123
113,0,2,294,,,3,116594,0,0,0,0,424.5,82,59,0,3,2.4,,0,N'Golo,0.0,25,3,106.3,122,68,False,422.8,152,59,1730,,,50,0,0,0,116594.jpg,2.6,0,0,Kanté,3.7,False,,a,5,8,214.0,157,87,57,0,0,0,0,0.0,11.4,Kanté,4,Chelsea,21.923076923076927,60.714992803247966,1.5,7.5,8.214992803247977,2.0,6.0,2.7694558120779784,2.8354604212803562,2.5832449703884324,2.7628983355486474
114,0,0,0,75.0,,0,124183,0,0,0,0,0.0,501,208,0,3,2.8,,0,Hakim,0.0,0,0,0.0,501,208,False,0.0,501,208,0,Knee injury - 75% chance of playing,2020-08-29T17:30:07.487245Z,80,0,0,0,124183.jpg,0.0,0,0,Ziyech,13.5,False,,d,5,8,0.0,501,208,0,0,0,0,0,0.0,0.0,Ziyech,0,Chelsea,,,,,,,,,,,
115,1,0,37,,,1,126187,0,0,0,0,30.2,306,150,0,3,3.1,,0,Ruben,0.0,3,0,9.2,345,149,False,30.8,350,148,203,,,60,0,0,0,126187.jpg,1.7,0,0,Loftus-Cheek,0.2,False,,a,5,8,33.0,299,145,12,0,0,0,0,0.0,2.0,Loftus-Cheek,0,Chelsea,7.0588235294117645,14.45628484908598,0.5,2.5,2.64507508216034,0.2,0.6000000000000001,2.047973686953847,2.1056923174703437,1.887410394704723,2.0421221672059215
116,0,0,325,,,3,135363,0,0,0,0,70.9,257,83,0,2,3.1,,0,Andreas,0.0,33,0,52.1,251,81,False,353.6,178,65,1751,,,50,0,0,0,135363.jpg,1.6,0,0,Christensen,0.3,False,,a,5,8,96.0,243,75,34,0,0,0,0,0.0,6.8,Christensen,5,Chelsea,21.25,61.35111244768076,0.7,4.199999999999998,31.851112447680755,1.1,3.3000000000000003,2.8871111740085063,3.0521321424536536,2.4486941885633726,2.86931574941512
117,0,0,0,,,0,165153,0,0,0,0,0.0,503,62,0,4,4.5,,0,Timo,0.0,0,0,0.0,503,62,False,0.0,503,62,0,,,95,0,0,0,165153.jpg,0.0,0,0,Werner,46.0,False,,a,5,8,0.0,503,62,0,0,0,0,0,0.0,0.0,Werner,0,Chelsea,,,,,,,,,,,
