id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week2,goals_week2,xPoints week 2,clean_sheet_points,xGA_week2,cleansheet_week2,xA,xA_points,xA_week2,assists_week2,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric
296,0,0,7,,,0,74208,,,0,0,0,0,6.8,164,98,3.0,,0,3,3.0,2.5,2,Paul,2.0,1,0,3.8,167,78,False,15.6,178,65,66,,,80,0,0,3.0,0,,74208.jpg,2.0,0,0,Pogba,1.8,False,,a,13,1,16.0,119,67,2,39401,7891,48515,32881,0.2,0.2,Pogba,0,Manchester Utd,1.0,2.7018965179946552,0.1,0.5,0.1,0.0,2.7018965179946552,0.20189651799465536,1.6,0.0,0.0,0.0,0.0,0.0,2.7018965179946552,,2.432110932755708,2.716571758037023,2.7217931776209614,0.3377370647493319,0.9552646749691707
297,0,0,0,0.0,0.0,0,76359,,,0,0,0,0,0.0,459,182,,,0,2,0.0,0.0,0,Phil,0.0,0,0,0.0,471,182,False,0.0,464,182,0,Knee injury - Unknown return date,2020-09-18T09:30:16.753619Z,50,0,0,,0,,76359.jpg,0.0,0,0,Jones,0.1,False,,i,13,1,0.0,433,174,0,313,47,2563,1606,0.0,0.0,Jones,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
298,0,0,14,,,0,95658,,,0,0,0,0,4.6,183,48,,,0,2,1.0,0.5,0,Harry,0.0,3,0,2.3,228,76,False,14.8,182,76,90,,,55,0,0,,0,,95658.jpg,0.0,0,0,Maguire,3.8,False,,a,13,1,4.0,179,53,0,43520,14810,59381,41675,0.0,0.0,Maguire,1,Manchester Utd,,,0.0,0.0,0.0,0.0,0.8075860719786215,,1.6,0.0,0.0,0.0,0.0,0.0,,,,,,,
299,0,0,0,,,0,101582,2.0,,0,0,0,0,0.0,502,203,5.0,,0,3,1.0,0.5,0,Frederico,0.0,0,0,0.0,504,201,False,0.0,497,198,0,,,55,0,0,,0,,101582.jpg,0.0,0,0,Rodrigues de Paula Santos,0.1,False,,a,13,1,0.0,490,191,0,1363,428,4054,2496,0.0,0.0,Fred,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
300,0,0,15,,,0,106760,6.0,,0,0,0,0,7.8,157,38,,,0,2,2.0,1.5,1,Luke,1.0,3,0,2.3,226,75,False,12.8,193,81,90,,,50,0,0,,0,,106760.jpg,1.0,0,0,Shaw,1.6,False,,a,13,1,2.0,196,63,1,51086,14157,34202,18218,0.2,0.2,Shaw,0,Manchester Utd,1.0,1.8075860719786208,0.0,0.0,0.0,0.0,1.8075860719786208,0.8075860719786215,1.6,0.0,0.0,0.0,0.0,0.0,1.8075860719786208,,1.5365654641587945,1.7610478419801705,1.6909273596857055,0.36151721439572415,0.8083770664252048
301,0,0,0,,,0,109322,,,0,0,0,0,0.0,528,211,,,0,3,1.0,0.5,0,Jesse,0.0,0,0,0.0,529,209,False,0.0,525,207,0,,,60,0,0,6.0,0,,109322.jpg,0.0,0,0,Lingard,0.2,False,,a,13,1,0.0,522,204,0,2333,739,5357,3371,0.0,0.0,Lingard,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
302,0,0,13,,,0,141746,1.0,,0,0,0,0,78.4,5,3,1.0,,0,3,3.0,2.5,2,Bruno Miguel,2.0,3,0,12.9,34,16,False,25.6,123,42,90,,,105,0,0,1.0,0,,141746.jpg,2.0,0,0,Borges Fernandes,20.1,False,,a,13,1,25.0,78,36,2,591131,65273,389806,315946,0.2,0.2,Fernandes,0,Manchester Utd,1.0,3.5018965179946555,0.2,1.0,0.2,0.0,3.5018965179946555,0.20189651799465536,1.6,0.0,0.1,0.30000000000000004,0.1,0.0,3.5018965179946555,,2.908862239501324,3.5586674341041924,3.6002913179402185,0.3335139540947291,1.0807087278943208
303,0,0,4,,,0,148225,,,0,0,0,0,6.0,171,27,,,0,4,3.0,2.5,2,Anthony,2.0,3,0,3.5,182,28,False,1.2,278,35,90,,,90,0,0,4.0,0,,148225.jpg,2.0,0,0,Martial,13.9,False,,a,13,1,28.0,70,25,2,463445,43580,329112,249817,0.2,0.2,Martial,0,Manchester Utd,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.2222222222222222,0.6666666666666666
304,0,0,0,,,0,156689,3.0,,0,0,0,0,0.0,466,188,6.0,,0,3,1.0,0.5,0,Andreas,0.0,0,0,0.0,475,187,False,0.0,468,184,0,,,50,0,0,,0,,156689.jpg,0.0,0,0,Pereira,0.1,False,,a,13,1,0.0,446,169,0,495,164,1829,1112,0.0,0.0,Pereira,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
305,0,0,0,,,0,172649,,,0,0,0,0,0.0,507,57,,,0,1,1.0,0.5,0,Dean,0.0,0,0,0.0,509,59,False,0.0,502,59,0,,,55,0,0,,0,,172649.jpg,0.0,0,0,Henderson,2.4,False,,a,13,1,0.0,498,57,0,5123,1883,52046,30239,0.0,0.0,Henderson,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
