id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1
527,0,0,0,,,0,113534,,,0,0,0,0,0.0,210,9,,,0,1,1.5,2.0,0,Matt,0.0,0,0,0.0,229,25,False,0.0,221,25,0,,,40,0,0,,0,,113534.jpg,0.0,0,0,Macey,0.2,False,,a,1,3,0.0,144,9,0,5328,5328,1207,1207,0.0,0.0,Macey,0,Arsenal,,,,,,,,,,,,,,,,,,,,
12,0,0,0,,,0,98980,,,0,0,0,0,0.0,276,28,,,0,1,1.3,0.0,0,Emiliano,0.0,0,0,0.0,294,43,False,0.0,287,43,0,,,45,0,0,,0,,98980.jpg,0.0,0,0,Martínez,4.7,False,,a,2,7,0.0,222,28,0,36585,9826,51175,2360,0.0,0.0,Martínez,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
28,0,0,0,0.0,0.0,0,21205,,,0,0,0,0,0.0,236,15,,,0,1,0.0,0.0,0,Tom,0.0,0,0,0.0,255,31,False,0.0,247,31,0,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,0,0,,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,,i,2,7,0.0,173,15,0,163,163,419,419,0.0,0.0,Heaton,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
29,0,0,0,,,0,37339,,,0,0,0,0,0.0,239,91,,,0,2,1.1,0.0,0,Ahmed,0.0,0,0,0.0,258,92,False,0.0,250,92,0,,,45,0,0,,0,,37339.jpg,0.0,0,0,El Mohamady,0.5,False,,a,2,7,0.0,176,67,0,1727,1727,2465,2465,0.0,0.0,El Mohamady,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
30,0,0,0,,,0,40564,,,0,0,0,0,0.0,243,105,,,0,3,0.5,0.0,0,Henri,0.0,0,0,0.0,262,106,False,0.0,254,102,0,,,45,0,0,,0,,40564.jpg,0.0,0,0,Lansbury,0.3,False,,a,2,7,0.0,180,65,0,999,999,1562,1562,0.0,0.0,Lansbury,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
31,0,0,0,,,0,47390,,,0,0,0,0,0.0,251,98,,,0,2,1.1,0.0,0,Neil,0.0,0,0,0.0,270,99,False,0.0,262,99,0,,,45,0,0,,0,,47390.jpg,0.0,0,0,Taylor,0.4,False,,a,2,7,0.0,189,75,0,1858,1858,2394,2394,0.0,0.0,Taylor,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
32,0,0,0,,,0,79852,,,0,0,0,0,0.0,206,6,,,0,1,0.5,0.0,0,Jed,0.0,0,0,0.0,225,22,False,0.0,217,22,0,,,40,0,0,,0,,79852.jpg,0.0,0,0,Steer,5.4,False,,a,2,7,0.0,140,6,0,19929,19929,10239,10239,0.0,0.0,Steer,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
33,0,0,0,,,0,85242,1.0,,0,0,0,0,0.0,480,187,1.0,,0,3,1.6,0.0,0,Conor,0.0,0,0,0.0,481,186,False,0.0,478,185,0,,,60,0,0,,0,,85242.jpg,0.0,0,0,Hourihane,0.1,False,,a,2,7,0.0,472,180,0,181,181,483,483,0.0,0.0,Hourihane,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
34,0,0,0,,,0,89274,,,0,0,0,0,0.0,481,188,,,0,3,1.6,0.0,0,José Ignacio,0.0,0,0,0.0,482,187,False,0.0,479,186,0,,,60,0,0,,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.1,False,,a,2,7,0.0,473,181,0,312,312,800,800,0.0,0.0,Jota,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
35,0,0,0,,,0,98770,,,0,0,0,0,0.0,208,7,,,0,1,0.5,0.0,0,Ørjan,0.0,0,0,0.0,227,23,False,0.0,219,23,0,,,40,0,0,,0,,98770.jpg,0.0,0,0,Nyland,16.6,False,,a,2,7,0.0,142,7,0,43415,43415,32611,32611,0.0,0.0,Nyland,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
